index,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2023-09-29,2566.8471987808052,2374.6666666667,
2023-09-30,2566.2996742309665,2374.3333333333,
2023-10-01,2565.3661823684592,2374.0,
2023-10-02,2564.406066758636,2380.0,
2023-10-03,2565.4042208260735,2359.5,
2023-10-04,2563.7499855217825,2372.0,
2023-10-05,2564.3156229579436,2348.5,
2023-10-06,2565.260179586372,2351.0,
2023-10-07,2564.2838422568593,2353.5,
2023-10-08,2563.324626930394,2356.0,
2023-10-09,2562.365981619631,2379.0,
2023-10-10,2563.3674355393878,2375.0,
2023-10-11,2561.716618154728,2481.5,
2023-10-12,2562.2856761013454,2438.0,
2023-10-13,2563.2336480481185,2419.3333333333,
2023-10-14,2562.260720328702,2400.6666666667,
2023-10-15,2561.304908878271,2382.0,
2023-10-16,2560.349661716738,2368.0,
2023-10-17,2561.3545080683953,2367.5,
2023-10-18,2559.7070774079143,2420.0,
2023-10-19,2560.279516380591,2380.0,
2023-10-20,2561.230863664891,2382.3333333333,
2023-10-21,2560.2613056040404,2384.6666666667,
2023-10-22,2559.3088581427687,2387.0,
2023-10-23,2558.3569693105273,2456.0,
2023-10-24,2559.365168341131,2466.0,
2023-10-25,2557.7210847187575,2487.0,
2023-10-26,2558.2968650981943,2482.0,
2023-10-27,2559.2515481673813,2501.3333333333,
2023-10-28,2558.285320279003,2520.6666666667,
2023-10-29,2557.336197387232,2540.0,
2023-10-30,2556.3876275309462,2554.0,
2023-10-31,2557.399139953372,2535.0,
2023-11-01,2555.758364148083,2461.5,
2023-11-02,2556.337446779244,2482.0,
2023-11-03,2557.2954265441604,2486.0,
2023-11-04,2556.3324898048636,2490.0,
2023-11-05,2555.3866525248586,2494.0,
2023-11-06,2554.4413627523404,2425.0,
2023-11-07,2555.4561497398354,2464.0,
2023-11-08,2553.8186429902025,2453.0,
2023-11-09,2554.4009891768765,2399.0,
2023-11-10,2555.362227006416,2381.0,
2023-11-11,2554.4025428500913,2363.0,
2023-11-12,2553.4599526806305,2345.0,
2023-11-13,2552.517904555435,2315.0,
2023-11-14,2553.535927736223,2290.0,
2023-11-15,2551.9016517350306,2325.0,
2023-11-16,2552.4872232344533,2282.0,
2023-11-17,2553.4516809501947,2285.6666666667,
2023-11-18,2552.4952112626556,2289.3333333333,
2023-11-19,2551.5558301536785,2293.0,
2023-11-20,2550.6169856897645,2355.0,
2023-11-21,2551.638207141716,2352.0,
2023-11-22,2550.0071240306374,2386.0,
2023-11-23,2550.595883048178,2391.0,
2023-11-24,2551.56352291908,2400.5,
2023-11-25,2550.610230032766,2410.0,
2023-11-26,2549.674020380088,2419.5,
2023-11-27,2548.7383420365395,2429.0,
2023-11-28,2549.7627242819,2444.0,
2023-11-29,2548.1347966462367,2425.5,
2023-11-30,2548.7267058301463,2480.0,
2023-12-01,2549.6974905673032,2479.0,
2023-12-02,2548.747337256049,2478.0,
2023-12-03,2547.8142618961356,2477.0,
2023-12-04,2546.881712571945,2476.0,
2023-12-05,2547.90921857213,2461.0,
2023-12-06,2546.2844094356146,2450.0,
2023-12-07,2546.879431871838,2430.0,
2023-12-08,2547.853324623302,2441.6666666667,
2023-12-09,2546.9062740971613,2453.3333333333,
2023-12-10,2545.976296301966,2465.0,
2023-12-11,2545.046839330882,2500.0,
2023-12-12,2546.077432481329,2484.0,
2023-12-13,2544.4557053009858,2575.0,
2023-12-14,2545.05380450803,2561.5,
2023-12-15,2546.0307688536886,2550.3333333333,
2023-12-16,2545.0867847538257,2539.1666666667,
2023-12-17,2544.1598682256863,2528.0,
2023-12-18,2543.2334673711157,2507.0,
2023-12-19,2544.2671114962004,2544.0,
2023-12-20,2542.648430157269,2503.0,
2023-12-21,2543.2495700811373,2557.0,
2023-12-22,2544.2295700276536,2548.0,
2023-12-23,2543.288616421289,2539.0,
2023-12-24,2542.3647252878827,2530.0,
2023-12-25,2541.441344737858,2528.0,
2023-12-26,2542.4780040858655,2487.0,
2023-12-27,2540.862332896784,2579.5,
