index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2023-09-29,2272.0973171453857,2143.3333333333,488.5187698392
2023-09-30,2272.0973171453857,2145.1666666667,487.8777479317
2023-10-01,2272.0973171453857,2147.0,487.3690470718
2023-10-02,2272.0973171453857,2156.5,487.0065079148
2023-10-03,2272.0973171453857,2147.0,488.4573897768
2023-10-04,2272.0973171453857,2150.0,488.0314596226
2023-10-05,2272.0973171453857,2131.0,487.728379868
2023-10-06,2272.0973171453857,2136.3333333333,486.9725942428
2023-10-07,2272.0973171453857,2141.6666666667,486.7498516308
2023-10-08,2272.0973171453857,2147.0,486.5376049454
2023-10-09,2272.0973171453857,2179.5,486.327329856
2023-10-10,2272.0973171453857,2186.0,487.8544924674
2023-10-11,2272.0973171453857,2279.0,487.4713445595
2023-10-12,2272.0973171453857,2269.0,487.1912173134
2023-10-13,2272.0973171453857,2261.0,486.4475380606
2023-10-14,2272.0973171453857,2253.0,486.231325987
2023-10-15,2272.0973171453857,2245.0,486.022586849
2023-10-16,2272.0973171453857,2216.0,485.8141865001
2023-10-17,2272.0973171453857,2186.5,487.3423559186
2023-10-18,2272.0973171453857,2220.0,486.959749511
2023-10-19,2272.0973171453857,2197.5,486.6799139587
2023-10-20,2272.0973171453857,2196.0,485.9363927527
2023-10-21,2272.0973171453857,2194.5,485.7202671442
2023-10-22,2272.0973171453857,2193.0,485.5115761076
2023-10-23,2272.0973171453857,2226.5,485.3032033128
2023-10-24,2272.0973171453857,2215.0,486.8313892796
2023-10-25,2272.0973171453857,2220.0,486.448793524
2023-10-26,2272.0973171453857,2203.0,486.1689654652
2023-10-27,2272.0973171453857,2216.0,485.4254500608
2023-10-28,2272.0973171453857,2229.0,485.2093293476
2023-10-29,2272.0973171453857,2242.0,485.0006427207
2023-10-30,2272.0973171453857,2262.0,484.7922740756
2023-10-31,2272.0973171453857,2227.0,486.3204640526
2023-11-01,2272.0973171453857,2195.0,485.9378722326
2023-11-02,2272.0973171453857,2211.0,485.6580480694
2023-11-03,2272.0973171453857,2217.3333333333,484.9145365392
2023-11-04,2272.0973171453857,2223.6666666667,484.6984196887
2023-11-05,2272.0973171453857,2230.0,484.4897369183
2023-11-06,2272.0973171453857,2195.0,484.2813721263
2023-11-07,2272.0973171453857,2205.0,485.8095659547
2023-11-08,2272.0973171453857,2213.0,485.4269779851
2023-11-09,2272.0973171453857,2178.0,485.1471576718
2023-11-10,2272.0973171453857,2167.5,484.4036499911
2023-11-11,2272.0973171453857,2157.0,484.18753699
2023-11-12,2272.0973171453857,2146.5,483.9788580689
2023-11-13,2272.0973171453857,2140.0,483.7704971262
2023-11-14,2272.0973171453857,2144.0,485.2986948037
2023-11-15,2272.0973171453857,2171.5,484.9161106833
2023-11-16,2272.0973171453857,2139.0,484.6362942191
2023-11-17,2272.0973171453857,2133.6666666667,483.8927903875
2023-11-18,2272.0973171453857,2128.3333333333,483.6766812354
2023-11-19,2272.0973171453857,2123.0,483.4680061633
2023-11-20,2272.0973171453857,2174.0,483.2596490695
2023-11-21,2272.0973171453857,2180.0,484.787850596
2023-11-22,2272.0973171453857,2163.0,484.4052703245
2023-11-23,2272.0973171453857,2160.5,484.1254577091
2023-11-24,2272.0973171453857,2160.375,483.3819577263
2023-11-25,2272.0973171453857,2160.25,483.1658524231
2023-11-26,2272.0973171453857,2160.125,482.9571811998
2023-11-27,2272.0973171453857,2160.0,482.7488279547
2023-11-28,2272.0973171453857,2179.5,484.27703333
2023-11-29,2272.0973171453857,2204.0,483.8944569072
2023-11-30,2272.0973171453857,2234.0,483.6146481405
2023-12-01,2272.0973171453857,2221.6666666667,482.8711520064
2023-12-02,2272.0973171453857,2209.3333333333,482.6550505518
2023-12-03,2272.0973171453857,2197.0,482.446383177
2023-12-04,2272.0973171453857,2188.5,482.2380337806
2023-12-05,2272.0973171453857,2206.0,483.7662430043
2023-12-06,2272.0973171453857,2180.0,483.38367043
2023-12-07,2272.0973171453857,2181.0,483.1038655118
2023-12-08,2272.0973171453857,2185.6666666667,482.3603732262
2023-12-09,2272.0973171453857,2190.3333333333,482.14427562
2023-12-10,2272.0973171453857,2195.0,481.9356120936
2023-12-11,2272.0973171453857,2199.0,481.7272665455
2023-12-12,2272.0973171453857,2197.0,483.2554796176
2023-12-13,2272.0973171453857,2235.0,482.8729108916
2023-12-14,2272.0973171453857,2197.0,482.5931098217
2023-12-15,2272.0973171453857,2200.0,481.8496213843
2023-12-16,2272.0973171453857,2203.0,481.6335276263
2023-12-17,2272.0973171453857,2206.0,481.4248679481
2023-12-18,2272.0973171453857,2215.5,481.2165262482
2023-12-19,2272.0973171453857,2247.0,482.7447431684
2023-12-20,2272.0973171453857,2212.0,482.3621782905
2023-12-21,2272.0973171453857,2240.0,482.0823810686
2023-12-22,2272.0973171453857,2235.0,481.3388964792
2023-12-23,2272.0973171453857,2230.0,481.1228065692
2023-12-24,2272.0973171453857,2225.0,480.9141507391
2023-12-25,2272.0973171453857,2238.5,480.7058128871
2023-12-26,2272.0973171453857,2226.0,482.2340336552
2023-12-27,2272.0973171453857,2265.0,481.8514726252
