index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2023-10-03,2073.4182235528947,2077.5,78.4418483221
2023-10-04,2073.4182235528947,2061.0,78.5592140395
2023-10-05,2073.4182235528947,2033.0,78.5328355203
2023-10-06,2073.4182235528947,2041.3333333333,78.4990101494
2023-10-07,2073.4182235528947,2049.6666666667,78.4935079116
2023-10-08,2073.4182235528947,2058.0,78.4877843087
2023-10-09,2073.4182235528947,2057.5,78.4820556587
2023-10-10,2073.4182235528947,2071.0,78.5988639053
2023-10-11,2148.9523558758315,2111.0,78.7161895575
2023-10-12,2148.9523558758315,2125.0,78.6897709833
2023-10-13,2073.4182235528947,2114.3333333333,78.6559055675
2023-10-14,2073.4182235528947,2103.6666666667,78.6503632952
2023-10-15,2073.4182235528947,2093.0,78.644599668
2023-10-16,2073.4182235528947,2103.0,78.6388310038
2023-10-17,2148.9523558758315,2094.0,78.7555992465
2023-10-18,2148.9523558758315,2092.5,78.8728849049
2023-10-19,2148.9523558758315,2136.0,78.8464263472
2023-10-20,2148.9523558758315,2138.0,78.8125209581
2023-10-21,2073.4182235528947,2140.0,78.8069387226
2023-10-22,2073.4182235528947,2142.0,78.8011351425
2023-10-23,2073.4182235528947,2159.0,78.7953265356
2023-10-24,2073.4182235528947,2153.5,78.9120548457
2023-10-25,2073.4182235528947,2173.0,79.0293005818
2023-10-26,2073.4182235528947,2157.0,79.0028021119
2023-10-27,2148.9523558758315,2156.3333333333,78.9688568209
2023-10-28,2148.9523558758315,2155.6666666667,78.9632346936
2023-10-29,2148.9523558758315,2155.0,78.9573912319
2023-10-30,2148.9523558758315,2150.5,78.9515427535
2023-10-31,2073.4182235528947,2145.0,79.0682312024
2023-11-01,2073.4182235528947,2147.5,79.1854370874
2023-11-02,2073.4182235528947,2140.0,79.1588987766
2023-11-03,2073.4182235528947,2144.6666666667,79.1249136548
2023-11-04,2073.4182235528947,2149.3333333333,79.1192517069
2023-11-05,2073.4182235528947,2154.0,79.1133684348
2023-11-06,2073.4182235528947,2119.5,79.1074801561
2023-11-07,2073.4182235528947,2128.0,79.2241288149
2023-11-08,2073.4182235528947,2132.0,79.34129492
2023-11-09,2073.4182235528947,2123.0,79.3147168393
2023-11-10,2073.4182235528947,2116.3333333333,79.2806919579
2023-11-11,2073.4182235528947,2109.6666666667,79.2749902605
2023-11-12,2073.4182235528947,2103.0,79.2690672489
2023-11-13,2073.4182235528947,2107.0,79.263139241
2023-11-14,2073.4182235528947,2125.0,79.3797481807
2023-11-15,2073.4182235528947,2139.0,79.4968745768
2023-11-16,2073.4182235528947,2140.0,79.4702567973
2023-11-17,2073.4182235528947,2142.3333333333,79.4361922272
2023-11-18,2073.4182235528947,2144.6666666667,79.4304508512
2023-11-19,2073.4182235528947,2147.0,79.4244881712
2023-11-20,2073.4182235528947,2182.0,79.418520505
2023-11-21,1993.37518262987,2178.0,79.5350897965
2023-11-22,2073.4182235528947,2189.0,79.6521765544
2023-11-23,2073.4182235528947,2166.0,79.625519147
2023-11-24,2073.4182235528947,2163.0,79.591414959
2023-11-25,2073.4182235528947,2160.0,79.5856339752
2023-11-26,2073.4182235528947,2157.0,79.5796316976
2023-11-27,1993.37518262987,2154.0,79.5736244438
2023-11-28,1993.37518262987,2203.0,79.6901541578
2023-11-29,1993.37518262987,2192.0,79.8072013484
2023-11-30,1993.37518262987,2271.0,79.7805043837
2023-12-01,1993.37518262987,2252.3333333333,79.7463606486
2023-12-02,1993.37518262987,2233.6666666667,79.7405401277
2023-12-03,1993.37518262987,2215.0,79.7344983231
2023-12-04,1993.37518262987,2220.0,79.7284515525
2023-12-05,1993.37518262987,2231.0,79.8449417597
2023-12-06,1993.37518262987,2232.5,79.9619494536
2023-12-07,2073.4182235528947,2219.0,79.9352130022
2023-12-08,2073.4182235528947,2227.6666666667,79.9010297905
2023-12-09,2073.4182235528947,2236.3333333333,79.8951698032
2023-12-10,2073.4182235528947,2245.0,79.8890885421
2023-12-11,2073.4182235528947,2233.0,79.8830023251
2023-12-12,2073.4182235528947,2210.0,79.999453096
2023-12-13,2073.4182235528947,2230.0,80.1164213637
2023-12-14,2073.4182235528947,2245.5,80.0896454962
2023-12-15,2148.9523558758315,2244.1666666667,80.0554228783
2023-12-16,2148.9523558758315,2242.8333333333,80.0495234949
2023-12-17,2073.4182235528947,2241.5,80.0434028479
2023-12-18,2148.9523558758315,2222.0,80.0372772549
2023-12-19,2148.9523558758315,2229.5,80.1536886599
2023-12-20,2073.4182235528947,2185.0,80.2706175717
2023-12-21,2073.4182235528947,2197.0,80.2438023583
2023-12-22,2073.4182235528947,2198.6666666667,80.2095404047
2023-12-23,2073.4182235528947,2200.3333333333,80.2036016956
2023-12-24,2073.4182235528947,2202.0,80.1974417328
2023-12-25,2073.4182235528947,2190.0,80.1912768341
2023-12-26,2073.4182235528947,2160.5,80.3076489435
2023-12-27,2073.4182235528947,2165.0,80.4245385697
2023-12-28,2073.4182235528947,2183.0,80.3976840807
2023-12-29,2073.4182235528947,2179.8333333333,80.3633828615
2023-12-30,2073.4182235528947,2176.6666666667,80.3574048968
2023-12-31,2073.4182235528947,2173.5,80.3512056885
