index,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2023-10-03,2744.054503068833,2359.5,103.0860696861
2023-10-04,2744.054503068833,2372.0,103.5082609512
2023-10-05,2744.054503068833,2348.5,103.3742234973
2023-10-06,2744.054503068833,2351.0,102.9441725927
2023-10-07,2744.054503068833,2353.5,102.9625936088
2023-10-08,2744.054503068833,2356.0,102.9813691786
2023-10-09,2744.054503068833,2379.0,103.000311427
2023-10-10,2744.054503068833,2375.0,103.3358130699
2023-10-11,2744.054503068833,2481.5,103.770253323
2023-10-12,2744.054503068833,2438.0,103.6404169427
2023-10-13,2744.054503068833,2419.3333333333,103.2121190654
2023-10-14,2744.054503068833,2400.6666666667,103.23117927
2023-10-15,2744.054503068833,2382.0,103.2501904373
2023-10-16,2744.054503068833,2368.0,103.2692027627
2023-10-17,2744.054503068833,2367.5,103.6047111263
2023-10-18,2744.054503068833,2420.0,104.0391329126
2023-10-19,2744.054503068833,2380.0,103.9092682621
2023-10-20,2744.054503068833,2382.3333333333,103.4809382561
2023-10-21,2744.054503068833,2384.6666666667,103.4999648247
2023-10-22,2744.054503068833,2387.0,103.5189417668
2023-10-23,2744.054503068833,2456.0,103.5379196387
2023-10-24,2744.054503068833,2466.0,103.873393462
2023-10-25,2744.054503068833,2487.0,104.3077806765
2023-10-26,2744.054503068833,2482.0,104.1778814447
2023-10-27,2744.054503068833,2501.3333333333,103.7495168564
2023-10-28,2744.054503068833,2520.6666666667,103.768508845
2023-10-29,2744.054503068833,2540.0,103.7874512105
2023-10-30,2744.054503068833,2554.0,103.8063945102
2023-10-31,2744.054503068833,2535.0,104.1418337654
2023-11-01,2744.054503068833,2461.5,104.5761864163
2023-11-02,2744.054503068833,2482.0,104.4462526253
2023-11-03,2744.054503068833,2486.0,104.0178534823
2023-11-04,2744.054503068833,2490.0,104.0368109205
2023-11-05,2744.054503068833,2494.0,104.0557187402
2023-11-06,2744.054503068833,2425.0,104.0746274984
2023-11-07,2744.054503068833,2464.0,104.4100322167
2023-11-08,2744.054503068833,2453.0,104.8443503351
2023-11-09,2744.054503068833,2399.0,104.7143820161
2023-11-10,2744.054503068833,2381.0,104.2859483494
2023-11-11,2744.054503068833,2363.0,104.3048712684
2023-11-12,2744.054503068833,2345.0,104.3237445734
2023-11-13,2744.054503068833,2315.0,104.3426188214
2023-11-14,2744.054503068833,2290.0,104.6779890338
2023-11-15,2744.054503068833,2325.0,105.1122726508
2023-11-16,2744.054503068833,2282.0,104.9822698348
2023-11-17,2744.054503068833,2285.6666666667,104.5538016756
2023-11-18,2744.054503068833,2289.3333333333,104.5726901066
2023-11-19,2154.606950099303,2293.0,104.5915289279
2023-11-20,2154.606950099303,2355.0,104.6103686966
2023-11-21,2154.606950099303,2352.0,104.9457044343
2023-11-22,2154.606950099303,2386.0,105.379953581
2023-11-23,2154.606950099303,2391.0,105.2499162991
2023-11-24,2154.606950099303,2400.5,104.8214136785
2023-11-25,2154.606950099303,2410.0,104.8402676524
2023-11-26,2154.606950099303,2419.5,104.8590720212
2023-11-27,2154.606950099303,2429.0,104.8778773418
2023-11-28,2154.606950099303,2444.0,105.2131786358
2023-11-29,2154.606950099303,2425.5,105.6473933432
2023-11-30,2154.606950099303,2480.0,105.5173216265
2023-12-01,2154.606950099303,2479.0,105.0887845755
2023-12-02,2154.606950099303,2478.0,105.1076041235
2023-12-03,2154.606950099303,2477.0,105.1263740708
2023-12-04,2154.606950099303,2476.0,105.1451449743
2023-12-05,2154.606950099303,2461.0,105.4804118556
2023-12-06,2154.606950099303,2450.0,105.9145921548
2023-12-07,2154.606950099303,2430.0,105.7844860343
2023-12-08,2154.606950099303,2441.6666666667,105.3559145839
2023-12-09,2154.606950099303,2453.3333333333,105.3746997369
2023-12-10,2154.606950099303,2465.0,105.3934352937
2023-12-11,2744.054503068833,2500.0,105.4121718111
2023-12-12,2744.054503068833,2484.0,105.7474043107
2023-12-13,2744.054503068833,2575.0,106.1815502327
2023-12-14,2744.054503068833,2561.5,106.0514097394
2023-12-15,2744.054503068833,2550.3333333333,105.6228039206
2023-12-16,2154.606950099303,2539.1666666667,105.6415547097
2023-12-17,2154.606950099303,2528.0,105.6602559069
2023-12-18,2154.606950099303,2507.0,105.6789580693
2023-12-19,2744.054503068833,2544.0,106.0141562182
2023-12-20,2154.606950099303,2503.0,106.4482677939
2023-12-21,2154.606950099303,2557.0,106.3180929588
2023-12-22,2154.606950099303,2548.0,105.8894528025
2023-12-23,2154.606950099303,2539.0,105.9081692587
2023-12-24,2154.606950099303,2530.0,105.9268361273
2023-12-25,2154.606950099303,2528.0,105.9455039655
2023-12-26,2154.606950099303,2487.0,106.2806677947
2023-12-27,2154.606950099303,2579.5,106.7147450551
2023-12-28,2154.606950099303,2650.0,106.5845359091
2023-12-29,2154.606950099303,2639.3333333333,106.1558614464
2023-12-30,2154.606950099303,2628.6666666667,106.1745436004
2023-12-31,2154.606950099303,2618.0,106.1931761714
