index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2023-10-03,2285.8324483140345,2147.0,
2023-10-04,2285.591731359639,2150.0,
2023-10-05,2287.435475543356,2131.0,
2023-10-06,2286.454019587175,2136.3333333333,
2023-10-07,2284.948101797697,2141.6666666667,
2023-10-08,2283.4526494639535,2147.0,
2023-10-09,2281.9583892591595,2179.5,
2023-10-10,2281.319623200268,2186.0,
2023-10-11,2281.0888749513156,2279.0,
2023-10-12,2282.9425016054747,2269.0,
2023-10-13,2281.9709062101983,2261.0,
2023-10-14,2280.474827340266,2253.0,
2023-10-15,2278.9891923329615,2245.0,
2023-10-16,2277.504727908891,2216.0,
2023-10-17,2276.8757361322923,2186.5,
2023-10-18,2276.6547407143858,2220.0,
2023-10-19,2278.518098795421,2197.5,
2023-10-20,2277.5562134698253,2196.0,
2023-10-21,2276.069823359251,2194.5,
2023-10-22,2274.59385584775,2193.0,
2023-10-23,2273.1190377025955,2226.5,
2023-10-24,2272.499671034589,2215.0,
2023-10-25,2272.2882796014123,2220.0,
2023-10-26,2274.1612205896745,2203.0,
2023-10-27,2273.2088971400617,2216.0,
2023-10-28,2271.7320479203822,2229.0,
2023-10-29,2270.2656003607435,2242.0,
2023-10-30,2268.800281274372,2262.0,
2023-10-31,2268.1903928179236,2227.0,
2023-11-01,2267.9884587948322,2195.0,
2023-11-02,2269.8708364373592,2211.0,
2023-11-03,2268.927928931743,2217.3333333333,
2023-11-04,2267.4604749912432,2223.6666666667,
2023-11-05,2266.00340209132,2230.0,
2023-11-06,2264.5474370904526,2195.0,
2023-11-07,2263.94688219045,2205.0,
2023-11-08,2263.754261239801,2213.0,
2023-11-09,2265.645931515722,2178.0,
2023-11-10,2264.712296249308,2167.5,
2023-11-11,2263.254094198578,2157.0,
2023-11-12,2261.8062528836513,2146.5,
2023-11-13,2260.35949920757,2140.0,
2023-11-14,2259.768135416607,2144.0,
2023-11-15,2259.584685403617,2171.5,
2023-11-16,2261.485506490087,2139.0,
2023-11-17,2260.561001951284,2133.6666666667,
2023-11-18,2259.1119105893026,2128.3333333333,
2023-11-19,2257.6731599682403,2123.0,
2023-11-20,2256.2354770350203,2174.0,
2023-11-21,2255.653164079702,2180.0,
2023-11-22,2255.4787450388303,2163.0,
2023-11-23,2257.388577277485,2160.5,
2023-11-24,2256.473064114432,2160.375,
2023-11-25,2255.032944395167,2160.25,
2023-11-26,2253.6031457270956,2160.125,
2023-11-27,2252.174395100354,2160.0,
2023-11-28,2251.600994848119,2179.5,
2023-11-29,2251.4354689499573,2204.0,
2023-11-30,2253.354174813878,2234.0,
2023-12-01,2252.4475158014807,2221.6666666667,
2023-12-02,2251.0162308010017,2209.3333333333,
2023-12-03,2249.595247462493,2197.0,
2023-12-04,2248.175292818643,2188.5,
2023-12-05,2247.6106692450876,2206.0,
2023-12-06,2247.4539007637613,2180.0,
2023-12-07,2249.3813448249452,2181.0,
2023-12-08,2248.483404832419,2185.6666666667,
2023-12-09,2247.0608197165084,2190.3333333333,
2023-12-10,2245.64851716926,2195.0,
2023-12-11,2244.237224265266,2199.0,
2023-12-12,2243.6812434219737,2197.0,
2023-12-13,2243.5330987030366,2235.0,
2023-12-14,2245.469147600364,2197.0,
2023-12-15,2244.5797935592727,2200.0,
2023-12-16,2243.1657755515334,2203.0,
2023-12-17,2241.762021310548,2206.0,
2023-12-18,2240.359257952172,2215.5,
2023-12-19,2239.8117879350266,2247.0,
2023-12-20,2239.6721353638477,2212.0,
2023-12-21,2241.616657771538,2240.0,
2023-12-22,2240.7357586443163,2235.0,
2023-12-23,2239.3301769947666,2230.0,
2023-12-24,2237.9348405970136,2225.0,
2023-12-25,2236.540476607548,2238.5,
2023-12-26,2236.0013875255354,2226.0,
2023-12-27,2235.870097496167,2265.0,
2023-12-28,2237.8229640927134,2342.0,
2023-12-29,2236.950390841672,2333.6666666667,
2023-12-30,2235.553116795816,2325.3333333333,
2023-12-31,2234.166069769374,2317.0,
