index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2023-10-04,2140.691716802144,2061.0,
2023-10-05,2140.139499345247,2033.0,
2023-10-06,2140.212600362128,2041.3333333333,
2023-10-07,2139.4338264033595,2049.6666666667,
2023-10-08,2138.635378380919,2058.0,
2023-10-09,2137.838878349975,2057.5,
2023-10-10,2137.575219117252,2071.0,
2023-10-11,2137.283711546466,2111.0,
2023-10-12,2136.7481875444723,2125.0,
2023-10-13,2136.837900246596,2114.3333333333,
2023-10-14,2136.075656603941,2103.6666666667,
2023-10-15,2135.293657927056,2093.0,
2023-10-16,2134.5135266677285,2103.0,
2023-10-17,2134.266156027358,2094.0,
2023-10-18,2133.9908572624045,2092.5,
2023-10-19,2133.4714626705413,2136.0,
2023-10-20,2133.5772257759977,2138.0,
2023-10-21,2132.830953916878,2140.0,
2023-10-22,2132.0648487888348,2142.0,
2023-10-23,2131.300533226872,2159.0,
2023-10-24,2131.068900813731,2153.5,
2023-10-25,2130.809263185343,2173.0,
2023-10-26,2130.305453016995,2157.0,
2023-10-27,2130.4267242086817,2156.3333333333,
2023-10-28,2129.6958844724295,2155.6666666667,
2023-10-29,2128.945135875983,2155.0,
2023-10-30,2128.196101624616,2150.5,
2023-10-31,2127.9796756695246,2145.0,
2023-11-01,2127.7351700132913,2147.5,
2023-11-02,2127.2464176960584,2140.0,
2023-11-03,2127.3826729808866,2144.6666666667,
2023-11-04,2126.666743941093,2149.3333333333,
2023-11-05,2125.9308330039407,2154.0,
2023-11-06,2125.1965637324624,2119.5,
2023-11-07,2124.9948304338604,2128.0,
2023-11-08,2124.764945464979,2132.0,
2023-11-09,2124.2907422184876,2123.0,
2023-11-10,2124.441475308247,2116.3333333333,
2023-11-11,2123.7399531566557,2109.6666666667,
2023-11-12,2123.018378538349,2103.0,
2023-11-13,2122.2983753620306,2107.0,
2023-11-14,2122.1108382788784,2125.0,
2023-11-15,2121.89507998803,2139.0,
2023-11-16,2121.43493422277,2140.0,
2023-11-17,2121.599655935907,2142.3333333333,
2023-11-18,2120.9120538871257,2144.6666666667,
2023-11-19,2120.204331186697,2147.0,
2023-11-20,2119.498112077314,2182.0,
2023-11-21,2119.3242915425108,2178.0,
2023-11-22,2119.1221826121505,2189.0,
2023-11-23,2118.6756193486253,2166.0,
2023-11-24,2118.853857032238,2163.0,
2023-11-25,2118.1797047485643,2160.0,
2023-11-26,2117.4853659321684,2157.0,
2023-11-27,2116.79246514845,2154.0,
2023-11-28,2116.631897702068,2203.0,
2023-11-29,2116.4429769424373,2192.0,
2023-11-30,2116.009537249937,2271.0,
2023-12-01,2116.2008342212985,2252.3333333333,
2023-12-02,2115.5396772569775,2233.6666666667,
2023-12-03,2114.858270104875,2215.0,
2023-12-04,2114.178237642192,2220.0,
2023-12-05,2114.0304754838626,2231.0,
2023-12-06,2113.854297288057,2232.5,
2023-12-07,2113.433537742396,2219.0,
2023-12-08,2113.637452749349,2227.6666666667,
2023-12-09,2112.9888520136114,2236.3333333333,
2023-12-10,2112.3199395858337,2245.0,
2023-12-11,2111.6523406444844,2233.0,
2023-12-12,2111.5169511042877,2210.0,
2023-12-13,2111.353084921737,2230.0,
2023-12-14,2110.9445770813136,2245.5,
2023-12-15,2111.160683780895,2244.1666666667,
2023-12-16,2110.524215019136,2242.8333333333,
2023-12-17,2109.8673751392084,2241.5,
2023-12-18,2109.211789610667,2222.0,
2023-12-19,2109.088354637898,2229.5,
2023-12-20,2108.9363844656373,2185.0,
2023-12-21,2108.539714365198,2197.0,
2023-12-22,2108.7676008198823,2198.6666666667,
2023-12-23,2108.1428541123732,2200.3333333333,
2023-12-24,2107.4976788684785,2202.0,
2023-12-25,2106.853700839006,2190.0,
2023-12-26,2106.7418165082154,2160.5,
2023-12-27,2106.6013403993466,2165.0,
2023-12-28,2106.216108060851,2183.0,
2023-12-29,2106.455376251814,2179.8333333333,
2023-12-30,2105.841955529349,2176.6666666667,
2023-12-31,2105.2080507923497,2173.5,
2024-01-01,2104.575288063373,2129.0,
