index,LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
2023-10-03,18510.88363521078,20405.0,
2023-10-04,18498.1980169659,21260.0,
2023-10-05,18493.343853143735,20675.0,
2023-10-06,18485.351218675263,20726.6666666667,
2023-10-07,18478.95933748669,20778.3333333333,
2023-10-08,18472.88844770309,20830.0,
2023-10-09,18466.830204753842,20705.0,
2023-10-10,18466.745413736993,21130.0,
2023-10-11,18453.98422193216,21350.0,
2023-10-12,18449.210907579738,21550.0,
2023-10-13,18441.32632686315,21375.0,
2023-10-14,18435.047030660793,21200.0,
2023-10-15,18429.089279342646,21025.0,
2023-10-16,18423.1440309953,20850.0,
2023-10-17,18423.171968977764,20910.0,
2023-10-18,18410.52321982869,21400.0,
2023-10-19,18405.86205876776,21150.0,
2023-10-20,18398.089342065436,21050.0,
2023-10-21,18391.92162123085,20950.0,
2023-10-22,18386.075157358533,20850.0,
2023-10-23,18380.24090927452,21625.0,
2023-10-24,18380.379561078276,21875.0,
2023-10-25,18367.841240047528,21645.0,
2023-10-26,18363.290222139207,21925.0,
2023-10-27,18355.627364359138,21918.3333333333,
2023-10-28,18349.56921894993,21911.6666666667,
2023-10-29,18343.8320477377,21905.0,
2023-10-30,18338.106810278154,22700.0,
2023-10-31,18338.354191398586,21845.0,
2023-11-01,18325.92431910264,21450.0,
2023-11-02,18321.481470071307,21210.0,
2023-11-03,18313.926502032602,21323.3333333333,
2023-11-04,18307.97596794946,21436.6666666667,
2023-11-05,18302.34613036645,21550.0,
2023-11-06,18296.727949555912,20850.0,
2023-11-07,18297.082111059884,20640.0,
2023-11-08,18284.758743594935,20530.0,
2023-11-09,18280.422124553137,20260.0,
2023-11-10,18272.97311237174,20190.0,
2023-11-11,18267.128260721096,20120.0,
2023-11-12,18261.603832851368,20050.0,
2023-11-13,18256.090789738653,20000.0,
2023-11-14,18256.549817626947,20175.0,
2023-11-15,18244.331045932955,20135.0,
2023-11-16,18240.09875274708,20200.0,
2023-11-17,18232.753797203102,20176.6666666667,
2023-11-18,18227.012733666113,20153.3333333333,
2023-11-19,18221.591826079206,20130.0,
2023-11-20,18216.182036109636,20475.0,
2023-11-21,18216.744050690766,20775.0,
2023-11-22,18204.62799992689,20600.0,
2023-11-23,18200.498162594227,21100.0,
2023-11-24,18193.255398510606,20975.0,
2023-11-25,18187.61626272339,20850.0,
2023-11-26,18182.2970198562,20725.0,
2023-11-27,18176.98863225505,20600.0,
2023-11-28,18177.65178753031,20455.0,
2023-11-29,18165.636616461547,20350.0,
2023-11-30,18161.607398498494,20700.0,
2023-12-01,18154.464994130773,20725.0,
2023-12-02,18148.925959075794,20750.0,
2023-12-03,18143.706558625494,20775.0,
2023-12-04,18138.497755792487,20960.0,
2023-12-05,18139.260238852028,20720.0,
2023-12-06,18127.344139246834,20310.0,
2023-12-07,18123.413737088093,20125.0,
2023-12-08,18116.369893525167,20170.0,
2023-12-09,18110.929164933503,20215.0,
2023-12-10,18105.807817261386,20260.0,
2023-12-11,18100.696814176077,20025.0,
2023-12-12,18101.556844605788,19750.0,
2023-12-13,18089.738040644508,20430.0,
2023-12-14,18085.90468305302,20050.0,
2023-12-15,18078.957633628605,20003.3333333333,
2023-12-16,18073.613449392953,19956.6666666667,
2023-12-17,18068.58839693893,19910.0,
2023-12-18,18063.5734405767,19650.0,
2023-12-19,18064.529269875737,19950.0,
2023-12-20,18052.80601756963,19205.0,
2023-12-21,18049.067965057115,19350.0,
2023-12-22,18042.215974771767,19316.6666666667,
2023-12-23,18036.966604369947,19283.3333333333,
2023-12-24,18032.036121077537,19250.0,
2023-12-25,18027.1154898361,18990.0,
2023-12-26,18028.16540084486,18900.0,
2023-12-27,18016.53598746555,18875.0,
2023-12-28,18012.891531723417,18825.0,
2023-12-29,18006.13289667693,18841.6666666667,
2023-12-30,18000.976640605735,18858.3333333333,
2023-12-31,17996.139031357397,18875.0,
