index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2023-10-04,2271.088478201198,2150.0,509.3203874323
2023-10-05,2271.088478201198,2131.0,511.0760876963
2023-10-06,2271.088478201198,2136.3333333333,511.9450205006
2023-10-07,2271.088478201198,2141.6666666667,512.5253100293
2023-10-08,2271.088478201198,2147.0,512.7156476501
2023-10-09,2271.088478201198,2179.5,512.7396485749
2023-10-10,2271.088478201198,2186.0,514.4154585548
2023-10-11,2271.088478201198,2279.0,514.1093360117
2023-10-12,2271.088478201198,2269.0,513.8737437238
2023-10-13,2271.088478201198,2261.0,513.1551486617
2023-10-14,2271.088478201198,2253.0,512.958570599
2023-10-15,2271.088478201198,2245.0,512.7642648391
2023-10-16,2271.088478201198,2216.0,512.5674705202
2023-10-17,2271.088478201198,2186.5,514.1256077376
2023-10-18,2271.088478201198,2220.0,513.7577013384
2023-10-19,2271.088478201198,2197.5,513.4886471534
2023-10-20,2271.088478201198,2196.0,512.7520982573
2023-10-21,2271.088478201198,2194.5,512.5459462338
2023-10-22,2271.088478201198,2193.0,512.3465062187
2023-10-23,2271.088478201198,2226.5,512.1469613827
2023-10-24,2271.088478201198,2215.0,513.7036285167
2023-10-25,2271.088478201198,2220.0,513.3349366449
2023-10-26,2271.088478201198,2203.0,513.0654637503
2023-10-27,2271.088478201198,2216.0,512.3286927536
2023-10-28,2271.088478201198,2229.0,512.1224239252
2023-10-29,2271.088478201198,2242.0,511.9229235099
2023-10-30,2271.088478201198,2262.0,511.7233484948
2023-10-31,2271.088478201198,2227.0,513.2800016392
2023-11-01,2271.088478201198,2195.0,512.9113044505
2023-11-02,2271.088478201198,2211.0,512.6418308852
2023-11-03,2271.088478201198,2217.3333333333,511.9050617068
2023-11-04,2271.088478201198,2223.6666666667,511.6987960302
2023-11-05,2271.088478201198,2230.0,511.499299481
2023-11-06,2271.088478201198,2195.0,511.2997287146
2023-11-07,2271.088478201198,2205.0,512.8563863126
2023-11-08,2271.088478201198,2213.0,512.4876936874
2023-11-09,2271.088478201198,2178.0,512.2182247443
2023-11-10,2271.088478201198,2167.5,511.4814602197
2023-11-11,2271.088478201198,2157.0,511.2751992136
2023-11-12,2271.088478201198,2146.5,511.0757073439
2023-11-13,2271.088478201198,2140.0,510.8761412619
2023-11-14,2271.088478201198,2144.0,512.4328035468
2023-11-15,2271.088478201198,2171.5,512.0641156098
2023-11-16,2271.088478201198,2139.0,511.7946513556
2023-11-17,2271.088478201198,2133.6666666667,511.0578915202
2023-11-18,2271.088478201198,2128.3333333333,510.8516352036
2023-11-19,2271.088478201198,2123.0,510.6521480234
2023-11-20,2271.088478201198,2174.0,510.4525866308
2023-11-21,2271.088478201198,2180.0,512.0092536052
2023-11-22,2271.088478201198,2163.0,511.6405703577
2023-11-23,2271.088478201198,2160.5,511.3711107929
2023-11-24,2271.088478201198,2160.375,510.6343556469
2023-11-25,2271.088478201198,2160.25,510.4281040195
2023-11-26,2271.088478201198,2160.125,510.2286215286
2023-11-27,2271.088478201198,2160.0,510.0290648252
2023-11-28,2271.088478201198,2179.5,511.5857364888
2023-11-29,2271.088478201198,2204.0,511.2170579303
2023-11-30,2271.088478201198,2234.0,510.9476030546
2023-12-01,2271.088478201198,2221.6666666667,510.2108525976
2023-12-02,2271.088478201198,2209.3333333333,510.0046056591
2023-12-03,2271.088478201198,2197.0,509.8051278571
2023-12-04,2271.088478201198,2188.5,509.6055758426
2023-12-05,2271.088478201198,2206.0,511.1622521949
2023-12-06,2271.088478201198,2180.0,510.7935783252
2023-12-07,2271.088478201198,2181.0,510.5241281381
2023-12-08,2271.088478201198,2185.6666666667,509.7873823698
2023-12-09,2271.088478201198,2190.3333333333,509.5811401199
2023-12-10,2271.088478201198,2195.0,509.3816670064
2023-12-11,2271.088478201198,2199.0,509.1821196804
2023-12-12,2271.088478201198,2197.0,510.7388007211
2023-12-13,2271.088478201198,2235.0,510.3701315398
2023-12-14,2271.088478201198,2197.0,510.1006860411
2023-12-15,2271.088478201198,2200.0,509.3639449609
2023-12-16,2271.088478201198,2203.0,509.1577073993
2023-12-17,2271.088478201198,2206.0,508.958238974
2023-12-18,2271.088478201198,2215.5,508.7586963361
2023-12-19,2271.088478201198,2247.0,510.3153820649
2023-12-20,2271.088478201198,2212.0,509.9467175715
2023-12-21,2271.088478201198,2240.0,509.6772767608
2023-12-22,2271.088478201198,2235.0,508.9405403686
2023-12-23,2271.088478201198,2230.0,508.7343074948
2023-12-24,2271.088478201198,2225.0,508.5348437573
2023-12-25,2271.088478201198,2238.5,508.3353058071
2023-12-26,2271.088478201198,2226.0,509.8919962236
2023-12-27,2271.088478201198,2265.0,509.5233364179
2023-12-28,2271.088478201198,2342.0,509.2539002947
2023-12-29,2271.088478201198,2333.6666666667,508.5171685901
2023-12-30,2271.088478201198,2325.3333333333,508.3109404038
2023-12-31,2271.088478201198,2317.0,508.1114813537
2024-01-01,2271.088478201198,2294.0,507.9119480909
