index,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2023-10-04,8657.141176470588,8295.5,168.8719652418
2023-10-05,8657.141176470588,8312.0,169.0539965598
2023-10-06,8657.141176470588,8307.3333333333,169.0197213884
2023-10-07,8657.141176470588,8302.6666666667,169.0404031324
2023-10-08,8657.141176470588,8298.0,169.0647974708
2023-10-09,8657.141176470588,8388.0,169.0891652332
2023-10-10,8657.141176470588,8383.0,169.0320390868
2023-10-11,8657.141176470588,8586.0,169.3037817416
2023-10-12,8657.141176470588,8666.0,169.4855905874
2023-10-13,8657.141176470588,8600.0,169.4510930583
2023-10-14,8657.141176470588,8534.0,169.4715525592
2023-10-15,8657.141176470588,8468.0,169.495724769
2023-10-16,8657.141176470588,8445.0,169.5198705172
2023-10-17,8657.141176470588,8384.0,169.4625224711
2023-10-18,8657.141176470588,8569.0,169.7340433405
2023-10-19,8657.141176470588,8449.0,169.915630515
2023-10-20,8657.141176470588,8455.3333333333,169.880911429
2023-10-21,8657.141176470588,8461.6666666667,169.901149487
2023-10-22,8855.526470588236,8468.0,169.9251003681
2023-10-23,8855.526470588236,8628.0,169.9490249016
2023-10-24,8855.526470588236,8576.0,169.8914557547
2023-10-25,8855.526470588236,8620.0,170.1627556373
2023-10-26,8855.526470588236,8630.0,170.3441219388
2023-10-27,8855.526470588236,8643.5,170.3091820936
2023-10-28,8855.526470588236,8657.0,170.3291995062
2023-10-29,8855.526470588236,8670.5,170.3529298555
2023-10-30,8855.526470588236,8768.0,170.3766339709
2023-10-31,8855.526470588236,8589.0,170.3188445193
2023-11-01,8855.526470588236,8517.0,170.5899242108
2023-11-02,8855.526470588236,8505.0,170.7710704347
2023-11-03,8855.526470588236,8517.3333333333,170.7359106253
2023-11-04,8855.526470588236,8529.6666666667,170.7557081869
2023-11-05,8657.141176470588,8542.0,170.7792187985
2023-11-06,8855.526470588236,8325.0,170.8027032894
2023-11-07,8281.789972899729,8428.0,170.7446943266
2023-11-08,8281.789972899729,8464.5,171.0155546198
2023-11-09,8281.789972899729,8276.0,171.1964815585
2023-11-10,8281.789972899729,8283.0,171.1611025769
2023-11-11,8281.789972899729,8290.0,171.1806810792
2023-11-12,8281.789972899729,8297.0,171.2039727444
2023-11-13,8281.789972899729,8182.0,171.2272384017
2023-11-14,8281.789972899729,8194.0,171.1690107179
2023-11-15,8281.789972899729,8258.0,171.439652403
2023-11-16,8281.789972899729,8211.0,171.6203608461
2023-11-17,8281.789972899729,8232.0,171.5847634814
2023-11-18,8281.789972899729,8253.0,171.6041237132
2023-11-19,8281.789972899729,8274.0,171.6271972204
2023-11-20,8571.064171122996,8373.0,171.650244832
2023-11-21,8571.064171122996,8406.0,171.5917992149
2023-11-22,8281.789972899729,8394.0,171.8622230789
2023-11-23,8281.789972899729,8420.0,172.0427138133
2023-11-24,8281.789972899729,8414.0,172.0068988519
2023-11-25,8281.789972899729,8408.0,172.0260415992
2023-11-26,8281.789972899729,8402.0,172.0488977339
2023-11-27,8281.789972899729,8396.0,172.071728085
2023-11-28,8281.789972899729,8435.0,172.0130653193
2023-11-29,8281.789972899729,8380.5,172.2832721467
2023-11-30,8281.789972899729,8535.0,172.4635459561
2023-12-01,8281.789972899729,8498.6666666667,172.4275141816
2023-12-02,8281.789972899729,8462.3333333333,172.4464402275
2023-12-03,8281.789972899729,8426.0,172.4690797724
2023-12-04,8281.789972899729,8430.0,172.4916936453
2023-12-05,8281.789972899729,8412.0,172.432814513
2023-12-06,8281.789972899729,8270.0,172.7028050852
2023-12-07,8281.789972899729,8242.0,172.8828627509
2023-12-08,8281.789972899729,8281.3333333333,172.846614944
2023-12-09,8281.789972899729,8320.6666666667,172.8653250687
2023-12-10,8281.789972899729,8360.0,172.8877488037
2023-12-11,8281.789972899729,8365.0,172.910146978
2023-12-12,8281.789972899729,8371.5,172.8510522582
2023-12-13,8281.789972899729,8465.0,173.1208273538
2023-12-14,8281.789972899729,8427.0,173.300669654
2023-12-15,8281.789972899729,8414.0,173.2642065926
2023-12-16,8281.789972899729,8401.0,173.2827015738
2023-12-17,8281.789972899729,8388.0,173.304910276
2023-12-18,8281.789972899729,8295.0,173.3270935283
2023-12-19,9301.68548387097,8336.0,173.2677839972
2023-12-20,8281.789972899729,8170.0,173.5373443922
2023-12-21,8281.789972899729,8255.0,173.7169721025
2023-12-22,8281.789972899729,8228.3333333333,173.6802945617
2023-12-23,8281.789972899729,8201.6666666667,173.6985751739
2023-12-24,8281.789972899729,8175.0,173.7205696177
2023-12-25,8281.789972899729,8131.0,173.7425387218
2023-12-26,8281.789972899729,8075.0,173.683015153
2023-12-27,8281.789972899729,8168.5,173.9523616206
2023-12-28,8281.789972899729,8282.0,174.1317755135
2023-12-29,8281.789972899729,8245.3333333333,174.0948842656
2023-12-30,8281.789972899729,8208.6666666667,174.1129512808
2023-12-31,8281.789972899729,8172.0,174.1347322376
2024-01-01,8281.789972899729,8030.0,174.1564879648
