index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2023-10-04,2073.4404505582143,2061.0,78.717344933
2023-10-05,2073.4404505582143,2033.0,78.6909456298
2023-10-06,2073.4404505582143,2041.3333333333,78.6570994751
2023-10-07,2073.4404505582143,2049.6666666667,78.6515764538
2023-10-08,2073.4404505582143,2058.0,78.6458320679
2023-10-09,2073.4404505582143,2057.5,78.640082635
2023-10-10,2073.4404505582143,2071.0,78.7570655894
2023-10-11,2148.9523558758315,2111.0,78.8743704048
2023-10-12,2148.9523558758315,2125.0,78.8479309941
2023-10-13,2073.4404505582143,2114.3333333333,78.8140447422
2023-10-14,2073.4404505582143,2103.6666666667,78.808481634
2023-10-15,2073.4404505582143,2093.0,78.8026971713
2023-10-16,2073.4404505582143,2103.0,78.7969076719
2023-10-17,2148.9523558758315,2094.0,78.9138505701
2023-10-18,2148.9523558758315,2092.5,79.0311153394
2023-10-19,2148.9523558758315,2136.0,79.004635893
2023-10-20,2148.9523558758315,2138.0,78.9707096155
2023-10-21,2073.4404505582143,2140.0,78.965106492
2023-10-22,2073.4404505582143,2142.0,78.9592820242
2023-10-23,2073.4404505582143,2159.0,78.9534525299
2023-10-24,2073.4404505582143,2153.5,79.0703554434
2023-10-25,2073.4404505582143,2173.0,79.1875802383
2023-10-26,2073.4404505582143,2157.0,79.1610608275
2023-10-27,2148.9523558758315,2156.3333333333,79.127094596
2023-10-28,2148.9523558758315,2155.6666666667,79.1214515286
2023-10-29,2148.9523558758315,2155.0,79.1155871272
2023-10-30,2148.9523558758315,2150.5,79.1097177094
2023-10-31,2073.4404505582143,2145.0,79.2265807097
2023-11-01,2073.4404505582143,2147.5,79.3437656015
2023-11-02,2073.4404505582143,2140.0,79.3172062979
2023-11-03,2073.4404505582143,2144.6666666667,79.2832001837
2023-11-04,2073.4404505582143,2149.3333333333,79.2775172438
2023-11-05,2073.4404505582143,2154.0,79.2716129801
2023-11-06,2073.4404505582143,2119.5,79.2657037103
2023-11-07,2073.4404505582143,2128.0,79.3825268686
2023-11-08,2073.4404505582143,2132.0,79.4996719286
2023-11-09,2073.4404505582143,2123.0,79.4730728034
2023-11-10,2073.4404505582143,2116.3333333333,79.4390268778
2023-11-11,2073.4404505582143,2109.6666666667,79.4333041367
2023-11-12,2073.4404505582143,2103.0,79.4273600819
2023-11-13,2073.4404505582143,2107.0,79.4214110311
2023-11-14,2073.4404505582143,2125.0,79.5381944187
2023-11-15,2073.4404505582143,2139.0,79.6552997181
2023-11-16,2073.4404505582143,2140.0,79.6286608424
2023-11-17,2073.4404505582143,2142.3333333333,79.5945751766
2023-11-18,2073.4404505582143,2144.6666666667,79.5888127053
2023-11-19,2073.4404505582143,2147.0,79.5828289305
2023-11-20,2073.4404505582143,2182.0,79.5768401698
2023-11-21,1993.37518262987,2178.0,79.6935838577
2023-11-22,2073.4404505582143,2189.0,79.8106494676
2023-11-23,2073.4404505582143,2166.0,79.7839709125
2023-11-24,2073.4404505582143,2163.0,79.7498455773
2023-11-25,2073.4404505582143,2160.0,79.7440434469
2023-11-26,2073.4404505582143,2157.0,79.738020023
2023-11-27,1993.37518262987,2154.0,79.7319916235
2023-11-28,1993.37518262987,2203.0,79.8486956826
2023-11-29,1993.37518262987,2192.0,79.9657216738
2023-11-30,1993.37518262987,2271.0,79.9390035101
2023-12-01,1993.37518262987,2252.3333333333,79.9048385766
2023-12-02,1993.37518262987,2233.6666666667,79.8989968578
2023-12-03,1993.37518262987,2215.0,79.8929338557
2023-12-04,1993.37518262987,2220.0,79.8868658881
2023-12-05,1993.37518262987,2231.0,80.0035303892
2023-12-06,1993.37518262987,2232.5,80.1205168326
2023-12-07,2073.4404505582143,2219.0,80.0937591312
2023-12-08,2073.4404505582143,2227.6666666667,80.0595546699
2023-12-09,2073.4404505582143,2236.3333333333,80.0536734335
2023-12-10,2073.4404505582143,2245.0,80.047570924
2023-12-11,2073.4404505582143,2233.0,80.041463459
2023-12-12,2073.4404505582143,2210.0,80.1580884728
2023-12-13,2073.4404505582143,2230.0,80.2750354389
2023-12-14,2073.4404505582143,2245.5,80.2482382704
2023-12-15,2148.9523558758315,2244.1666666667,80.213994352
2023-12-16,2148.9523558758315,2242.8333333333,80.2080736687
2023-12-17,2073.4404505582143,2241.5,80.2019317223
2023-12-18,2148.9523558758315,2222.0,80.1957848304
2023-12-19,2148.9523558758315,2229.5,80.3123704274
2023-12-20,2073.4404505582143,2185.0,80.4292779869
2023-12-21,2073.4404505582143,2197.0,80.4024414217
2023-12-22,2073.4404505582143,2198.6666666667,80.3681581168
2023-12-23,2073.4404505582143,2200.3333333333,80.362198057
2023-12-24,2073.4404505582143,2202.0,80.3560167441
2023-12-25,2073.4404505582143,2190.0,80.3498304958
2023-12-26,2073.4404505582143,2160.5,80.4663767465
2023-12-27,2073.4404505582143,2165.0,80.5832449696
2023-12-28,2073.4404505582143,2183.0,80.5563690782
2023-12-29,2073.4404505582143,2179.8333333333,80.5220464571
2023-12-30,2073.4404505582143,2176.6666666667,80.5160470912
2023-12-31,2073.4404505582143,2173.5,80.5098264822
2024-01-01,2073.4404505582143,2129.0,80.5036009478
