index,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2023-10-04,2743.665503568261,2372.0,98.8225019533
2023-10-05,2743.665503568261,2348.5,98.226527433
2023-10-06,2743.665503568261,2351.0,97.6556852251
2023-10-07,2743.665503568261,2353.5,97.6098822857
2023-10-08,2743.665503568261,2356.0,97.6051750354
2023-10-09,2743.665503568261,2379.0,97.6142937073
2023-10-10,2743.665503568261,2375.0,97.9409055961
2023-10-11,2743.665503568261,2481.5,98.3727083191
2023-10-12,2743.665503568261,2438.0,98.241411027
2023-10-13,2743.665503568261,2419.3333333333,97.812391278
2023-10-14,2743.665503568261,2400.6666666667,97.8309594605
2023-10-15,2743.665503568261,2382.0,97.8495819012
2023-10-16,2743.665503568261,2368.0,97.8682432947
2023-10-17,2743.665503568261,2367.5,98.1984891103
2023-10-18,2743.665503568261,2420.0,98.6317166899
2023-10-19,2743.665503568261,2380.0,98.5009542285
2023-10-20,2743.665503568261,2382.3333333333,98.0721253113
2023-10-21,2743.665503568261,2384.6666666667,98.0907482914
2023-10-22,2743.665503568261,2387.0,98.1093724139
2023-10-23,2743.665503568261,2456.0,98.1280146055
2023-10-24,2743.665503568261,2466.0,98.4582330415
2023-10-25,2743.665503568261,2487.0,98.8914300339
2023-10-26,2743.665503568261,2482.0,98.7606357302
2023-10-27,2743.665503568261,2501.3333333333,98.3317744808
2023-10-28,2743.665503568261,2520.6666666667,98.3503649391
2023-10-29,2743.665503568261,2540.0,98.3689564678
2023-10-30,2743.665503568261,2554.0,98.3875660399
2023-10-31,2743.665503568261,2535.0,98.7177518489
2023-11-01,2743.665503568261,2461.5,99.1509162137
2023-11-02,2743.665503568261,2482.0,99.0200892849
2023-11-03,2743.665503568261,2486.0,98.5911954136
2023-11-04,2743.665503568261,2490.0,98.6097532539
2023-11-05,2743.665503568261,2494.0,98.6283121686
2023-11-06,2743.665503568261,2425.0,98.6468891308
2023-11-07,2743.665503568261,2464.0,98.9770423339
2023-11-08,2743.665503568261,2453.0,99.410174097
2023-11-09,2743.665503568261,2399.0,99.2793145704
2023-11-10,2743.665503568261,2381.0,98.8503881056
2023-11-11,2743.665503568261,2363.0,98.8689133564
2023-11-12,2743.665503568261,2345.0,98.8874396857
2023-11-13,2743.665503568261,2315.0,98.9059840666
2023-11-14,2743.665503568261,2290.0,99.2361046925
2023-11-15,2743.665503568261,2325.0,99.6692038825
2023-11-16,2743.665503568261,2282.0,99.538311787
2023-11-17,2743.665503568261,2285.6666666667,99.1093527572
2023-11-18,2743.665503568261,2289.3333333333,99.1278454472
2023-11-19,2154.606950099303,2293.0,99.1463392198
2023-11-20,2154.606950099303,2355.0,99.164851048
2023-11-21,2154.606950099303,2352.0,99.4949391254
2023-11-22,2154.606950099303,2386.0,99.928005771
2023-11-23,2154.606950099303,2391.0,99.7970811351
2023-11-24,2154.606950099303,2400.5,99.3680895691
2023-11-25,2154.606950099303,2410.0,99.3865497269
2023-11-26,2154.606950099303,2419.5,99.4050109715
2023-11-27,2154.606950099303,2429.0,99.4234902757
2023-11-28,2154.606950099303,2444.0,99.7535458332
2023-11-29,2154.606950099303,2425.5,100.1865799629
2023-11-30,2154.606950099303,2480.0,100.0556228154
2023-12-01,2154.606950099303,2479.0,99.6265987417
2023-12-02,2154.606950099303,2478.0,99.645026396
2023-12-03,2154.606950099303,2477.0,99.6634551411
2023-12-04,2154.606950099303,2476.0,99.68190195
2023-12-05,2154.606950099303,2461.0,100.0119250162
2023-12-06,2154.606950099303,2450.0,100.4449266587
2023-12-07,2154.606950099303,2430.0,100.313937028
2023-12-08,2154.606950099303,2441.6666666667,99.8848804753
2023-12-09,2154.606950099303,2453.3333333333,99.9032756547
2023-12-10,2154.606950099303,2465.0,99.9216719289
2023-12-11,2743.665503568261,2500.0,99.940086271
2023-12-12,2743.665503568261,2484.0,100.2700768745
2023-12-13,2743.665503568261,2575.0,100.7030460585
2023-12-14,2743.665503568261,2561.5,100.5720239732
2023-12-15,2743.665503568261,2550.3333333333,100.1429349701
2023-12-16,2154.606950099303,2539.1666666667,100.1612977031
2023-12-17,2154.606950099303,2528.0,100.179661535
2023-12-18,2154.606950099303,2507.0,100.1980434389
2023-12-19,2743.665503568261,2544.0,100.5280016083
2023-12-20,2154.606950099303,2503.0,100.9609383622
2023-12-21,2154.606950099303,2557.0,100.829883851
2023-12-22,2154.606950099303,2548.0,100.4007624259
2023-12-23,2154.606950099303,2539.0,100.4190927411
2023-12-24,2154.606950099303,2530.0,100.4374241592
2023-12-25,2154.606950099303,2528.0,100.4557736535
2023-12-26,2154.606950099303,2487.0,100.7856994172
2023-12-27,2154.606950099303,2579.5,101.2186037696
2023-12-28,2154.606950099303,2650.0,101.0875168609
2023-12-29,2154.606950099303,2639.3333333333,100.6583630425
2023-12-30,2154.606950099303,2628.6666666667,100.6766609684
2023-12-31,2154.606950099303,2618.0,100.6949600013
2024-01-01,2154.606950099303,2537.0,100.7132771144
