,date,close,volume
0,2023-08-16,3.6955,24.828
1,2023-08-15,3.7055,28.615
2,2023-08-14,3.7255,71.383
3,2023-08-11,3.719,90.906
4,2023-08-10,3.765,77.588
5,2023-08-09,3.7835,81.75
6,2023-08-08,3.7665,132.722
7,2023-08-07,3.835,68.024
8,2023-08-04,3.8675,77.591
9,2023-08-03,3.8995,79.235
10,2023-08-02,3.8435,87.403
11,2023-08-01,3.9085,107.871
12,2023-07-31,4.008,110.755
13,2023-07-28,3.9265,59.113
14,2023-07-27,3.8755,74.533
15,2023-07-26,3.902,63.561
16,2023-07-25,3.9155,83.87
17,2023-07-24,3.8555,74.159
18,2023-07-21,3.818,58.653
19,2023-07-20,3.8345,67.875
20,2023-07-19,3.814,53.823
21,2023-07-18,3.8295,60.01
22,2023-07-17,3.844,77.457
23,2023-07-14,3.933,75.249
24,2023-07-13,3.94,101.368
25,2023-07-12,3.853,76.124
26,2023-07-11,3.766,62.484
27,2023-07-10,3.7845,46.054
28,2023-07-07,3.782,50.982
29,2023-07-06,3.7345,59.257
30,2023-07-05,3.7685,69.673
31,2023-07-03,3.794,46.63
32,2023-06-30,3.7595,56.833
33,2023-06-29,3.699,72.759
34,2023-06-28,3.7425,57.293
35,2023-06-27,3.7885,49.705
36,2023-06-26,3.8045,50.787
37,2023-06-23,3.8155,42.993
38,2023-06-22,3.9005,42.227
39,2023-06-21,3.9105,45.393
40,2023-06-20,3.8935,42.293
41,2023-06-16,3.8985,30.586
42,2023-06-15,3.904,34.3
43,2023-06-14,3.87,87.274
44,2023-06-13,3.831,111.636
45,2023-06-12,3.752,74.925
46,2023-06-09,3.789,80.603
47,2023-06-08,3.795,81.614
48,2023-06-07,3.756,91.285
49,2023-06-06,3.7685,60.677
50,2023-06-05,3.768,78.393
51,2023-06-02,3.7275,80.467
52,2023-06-01,3.711,84.617
53,2023-05-31,3.637,63.622
54,2023-05-30,3.663,86.662
55,2023-05-26,3.682,68.224
56,2023-05-25,3.588,82.048
57,2023-05-24,3.5615,101.397
58,2023-05-23,3.6545,68.236
59,2023-05-22,3.685,54.146
60,2023-05-19,3.732,57.384
61,2023-05-18,3.6895,58.421
62,2023-05-17,3.7545,80.717
63,2023-05-16,3.667,71.339
64,2023-05-15,3.751,57.855
65,2023-05-12,3.7285,78.256
66,2023-05-11,3.71,126.841
67,2023-05-10,3.841,74.698
68,2023-05-09,3.9015,44.556
69,2023-05-08,3.9295,38.479
70,2023-05-05,3.883,58.539
71,2023-05-04,3.863,66.121
72,2023-05-03,3.845,49.04
73,2023-05-02,3.8625,55.953
74,2023-05-01,3.934,56.866
75,2023-04-28,3.8905,55.72
76,2023-04-27,3.884,79.742
77,2023-04-26,3.8615,70.606
78,2023-04-25,3.865,80.282
79,2023-04-24,3.9645,44.517
80,2023-04-21,3.9865,37.425
81,2023-04-20,4.0325,31.025
82,2023-04-19,4.081,27.218
83,2023-04-18,4.0965,22.929
84,2023-04-17,4.0695,27.789
85,2023-04-14,4.1065,98.124
86,2023-04-13,4.124,88.437
87,2023-04-12,4.081,88.325
88,2023-04-11,4.0195,81.243
89,2023-04-10,3.9765,53.745
90,2023-04-06,4.0155,86.075
91,2023-04-05,3.9865,65.931
92,2023-04-04,3.971,80.297
93,2023-04-03,4.0455,62.12
94,2023-03-31,4.0945,73.812
95,2023-03-30,4.0915,69.159
96,2023-03-29,4.0865,73.054
97,2023-03-28,4.0855,75.067
98,2023-03-27,4.0785,65.558
99,2023-03-24,4.075,82.229
100,2023-03-23,4.1235,77.824
101,2023-03-22,4.0445,77.119
102,2023-03-21,3.994,68.041
103,2023-03-20,3.9515,71.946
104,2023-03-17,3.8925,69.462
105,2023-03-16,3.8645,83.498
106,2023-03-15,3.843,127.731
107,2023-03-14,4.003,66.491
108,2023-03-13,4.0535,130.47
109,2023-03-10,4.0305,82.641
110,2023-03-09,4.039,51.881
111,2023-03-08,4.027,76.997
112,2023-03-07,3.975,75.906
113,2023-03-06,4.0885,61.755
114,2023-03-03,4.067,49.126
115,2023-03-02,4.076,78.808
116,2023-03-01,4.16,85.76
117,2023-02-28,4.0895,69.374
118,2023-02-27,4.011,81.802
119,2023-02-24,3.953,79.043
120,2023-02-23,4.056,55.457
121,2023-02-22,4.185,49.74
122,2023-02-21,4.212,68.551
123,2023-02-17,4.105,30.848
124,2023-02-16,4.1215,49.78
125,2023-02-15,4.0105,99.011
126,2023-02-14,4.075,92.055
127,2023-02-13,4.0575,71.299
128,2023-02-10,4.0165,82.806
129,2023-02-09,4.097,92.947
130,2023-02-08,4.0355,81.513
131,2023-02-07,4.0805,83.856
132,2023-02-06,4.035,73.083
