LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2154.0,2195.0,495.875
2132.5,2181.0,499.475
2135.0,2180.0,501.475
2158.0,2206.0,502.4
2136.5,2188.5,506.875
2149.5,2197.0,506.4
2184.0,2234.0,508.4
2165.5,2204.0,515.75
2140.5,2179.5,517.375
2116.5,2160.0,524.025
2124.0,2160.5,526.175
2119.5,2163.0,527.55
2129.0,2180.0,528.25
2121.5,2174.0,529.775
2068.5,2123.0,491.05
2096.0,2139.0,483.55
2131.0,2171.5,487.1
2089.0,2144.0,488.6
2085.5,2140.0,490.8
2096.0,2146.5,491.75
2127.0,2178.0,493.825
2161.5,2213.0,496.15
2153.0,2205.0,495.0
2143.0,2195.0,498.9
2178.0,2230.0,501.325
2166.0,2211.0,503.325
2147.0,2195.0,505.1
2176.5,2227.0,502.775
2217.0,2262.0,505.55
2195.5,2242.0,507.4
2161.5,2203.0,509.0
2176.0,2220.0,511.0
2170.5,2215.0,514.025
2184.0,2226.5,516.975
2155.0,2193.0,512.5
2153.5,2197.5,513.4
2172.0,2220.0,513.1
2142.0,2186.5,514.3
2169.5,2216.0,517.4
2195.0,2245.0,520.8
2225.0,2269.0,528.475
2236.0,2279.0,532.1
2147.5,2186.0,528.1
2129.0,2179.5,531.725
2096.0,2147.0,534.075
2086.0,2131.0,535.075
2103.5,2150.0,537.875
2093.0,2147.0,539.7
2102.5,2156.5,544.4
2107.0,2147.0,542.05
2096.5,2141.5,543.15
2105.5,2152.0,531.225
2141.5,2183.5,534.35
2151.5,2191.5,536.425
2116.0,2155.0,537.775
2132.5,2175.0,540.975
2190.5,2234.0,546.375
2157.0,2205.0,550.925
2184.5,2229.0,555.675
2195.0,2245.0,559.925
2224.5,2270.0,564.85
2197.0,2237.0,569.075
2200.0,2243.0,572.775
2193.5,2236.0,575.325
2188.0,2234.0,577.975
2221.0,2266.0,578.3
2187.5,2227.0,582.125
2169.0,2215.0,589.45
2172.0,2219.0,589.475
2216.0,2255.0,585.05
2263.5,2289.5,579.025
2281.0,2253.0,578.825
2255.0,2221.5,579.525
2230.0,2225.0,586.525
2242.0,2238.0,579.775
2236.0,2226.0,575.475
2234.0,2229.0,575.675
2202.0,2227.0,575.875
2262.0,2262.0,555.0
2300.0,2297.0,555.2
2312.0,2304.0,556.55
2269.0,2273.5,559.0
2235.5,2242.5,562.45
2260.5,2268.0,568.2
2230.5,2237.0,570.3
2229.0,2237.0,569.975
2276.0,2281.0,570.15
2321.0,2327.0,561.45
2277.5,2292.0,561.925
2297.0,2308.0,563.3
2330.0,2343.0,565.2
2353.0,2355.0,566.2
2342.0,2344.0,568.5
2302.0,2310.0,570.3
2339.5,2356.0,571.8
2313.0,2332.0,569.6
2354.5,2373.0,569.6
2388.5,2400.0,571.4
2410.0,2431.0,572.275
2382.0,2402.0,573.575
2401.0,2423.0,573.075
2364.5,2371.0,528.35
2356.0,2388.0,530.65
2330.0,2365.0,530.775
2258.5,2302.0,527.45
2268.0,2308.0,512.725
2300.5,2340.5,516.8
2306.0,2354.0,516.825
2341.5,2394.0,520.1
2380.5,2430.0,523.9
2336.5,2375.5,520.9
2344.0,2388.0,525.275
2366.0,2410.0,529.175
2315.0,2361.0,532.025
2298.0,2340.5,527.875
2265.0,2313.0,532.725
2265.0,2313.5,538.95
2232.0,2282.5,541.325
2235.0,2286.0,541.875
2237.5,2283.0,546.2
2232.0,2280.0,552.35
2237.5,2287.0,530.55
2246.0,2295.5,532.425
2272.0,2321.0,536.45
2236.5,2287.0,543.525
2249.0,2297.5,548.375
2291.0,2335.5,551.175
2288.5,2336.0,554.3
2312.5,2360.0,557.925
2321.5,2368.0,562.325
2361.5,2404.0,564.7
2366.5,2411.0,546.825
2364.0,2406.5,550.1
2300.0,2346.0,554.9
2314.0,2360.0,559.375
2307.0,2356.0,563.6
2368.5,2408.0,568.8
2385.5,2429.0,574.025
2430.5,2472.0,581.3
2392.0,2430.0,585.75
2335.0,2374.0,591.95
2341.5,2382.0,597.825
2367.0,2393.0,602.15
2391.0,2420.0,601.6
2382.5,2424.0,576.775
2435.0,2466.0,486.925
2424.5,2467.0,490.55
2469.0,2508.0,495.75
2472.5,2514.0,390.2
2486.5,2527.0,392.2
2560.0,2594.0,395.25
2572.5,2609.0,399.6
2611.0,2644.0,404.15
2533.5,2574.0,407.325
2577.0,2615.0,411.65
2597.0,2638.0,415.525
2598.0,2642.0,419.425
2606.0,2638.5,381.55
2594.5,2627.0,381.55
2593.0,2619.5,375.95
2585.5,2614.0,381.175
2541.0,2571.0,385.85
2636.0,2662.0,390.4
2562.5,2587.0,395.15
2603.0,2624.0,399.65
2511.0,2546.0,403.25
2447.0,2476.0,408.875
2451.0,2487.0,413.7
2397.0,2432.0,418.875
2336.5,2370.0,422.075
2242.5,2275.0,428.525
2270.0,2304.0,436.5
2250.0,2287.0,442.425
2337.5,2369.0,447.25
2360.5,2392.0,450.3
2371.5,2399.0,453.375
2343.0,2378.0,461.725
2342.0,2373.0,466.6
2362.0,2397.0,473.0
2357.0,2392.0,481.175
2329.5,2371.0,478.5
2327.0,2364.0,479.525
2354.0,2398.0,477.65
2396.0,2430.0,483.85
2379.5,2428.0,489.3
2388.0,2428.0,496.425
2390.0,2430.0,501.675
2453.5,2488.0,471.575
2468.5,2498.0,477.425
2450.5,2477.0,483.575
2461.0,2490.5,491.75
2485.0,2517.0,495.55
2448.5,2479.0,497.925
2430.5,2460.5,499.15
2387.0,2419.0,501.225
2341.5,2382.0,503.15
2315.5,2353.5,503.7
2346.0,2381.0,506.275
2344.0,2375.0,509.45
2364.0,2391.0,513.275
2394.0,2419.0,517.075
2344.0,2368.0,522.0
2369.0,2400.0,524.375
2342.5,2371.0,528.25
2393.0,2420.0,532.975
2410.0,2445.0,538.825
2392.0,2418.0,544.025
2410.0,2426.0,549.275
2272.0,2285.0,552.6
2338.0,2355.0,558.825
2327.0,2339.5,564.375
2292.0,2302.0,570.775
2306.0,2318.0,574.425
2216.0,2242.0,577.875
2227.0,2238.5,581.05
2245.5,2254.0,583.975
2197.0,2207.0,586.225
2226.0,2236.0,587.425
2297.0,2302.0,587.1
2265.5,2262.0,574.075
2170.5,2192.0,569.5
2160.0,2179.0,569.525
2155.5,2175.5,570.0
2214.0,2228.0,568.275
2169.0,2181.0,562.55
2200.5,2216.5,481.375
2240.0,2240.5,433.025
2309.0,2303.0,367.2
2374.0,2360.5,351.9
2227.0,2220.0,336.275
2218.5,2215.5,325.8
2274.0,2278.0,327.675
2342.0,2345.5,327.625
2355.0,2360.0,328.85
2289.0,2299.0,328.525
2261.5,2272.0,328.6
2164.0,2169.0,330.05
2180.0,2197.0,332.175
2261.0,2273.0,334.1
2080.0,2103.0,335.625
2106.0,2130.0,337.425
2125.5,2145.5,338.85
2153.0,2172.0,340.35
2195.5,2215.5,341.65
2191.0,2218.0,343.325
2245.5,2266.0,346.025
2232.0,2247.0,346.325
2259.0,2267.0,347.65
2272.0,2282.0,349.65
2227.5,2244.0,345.6
2309.5,2326.5,332.9
2288.5,2309.5,334.375
2280.0,2290.0,335.275
2256.0,2268.0,309.025
2230.5,2238.0,309.5
2260.0,2263.0,308.375
2290.5,2290.0,277.05
2309.0,2301.0,276.05
2306.0,2301.5,276.375
2368.5,2357.0,277.05
2406.5,2405.0,280.475
2495.0,2485.5,278.025
2442.5,2427.5,280.125
2422.0,2414.0,282.075
2438.5,2417.0,271.45
2387.5,2380.5,273.325
2376.0,2373.5,273.775
2412.0,2414.0,274.525
2414.0,2413.0,276.875
2442.0,2443.0,275.625
2389.5,2385.0,275.725
2468.5,2466.0,277.225
2498.0,2493.0,279.125
2462.5,2449.0,282.7
2488.0,2473.5,284.275
2435.5,2434.0,287.425
2447.5,2441.0,289.125
2374.0,2373.0,290.675
2403.0,2401.0,294.55
2448.5,2437.0,296.65
2469.5,2448.0,288.125
2452.0,2438.0,291.025
2458.0,2446.0,295.325
2390.5,2386.5,299.7
2437.0,2427.0,304.125
2431.5,2432.0,308.05
2460.0,2457.5,313.175
2426.0,2425.0,317.275
2456.5,2448.0,320.675
2412.0,2420.5,325.075
2377.5,2392.0,328.5
2320.5,2336.0,333.0
2329.0,2340.0,336.85
2343.0,2355.5,340.3
2358.0,2370.5,340.375
2417.0,2423.0,343.825
2399.5,2414.5,347.175
2417.5,2435.0,353.175
2358.0,2380.0,358.125
2374.0,2387.5,362.525
2431.5,2452.0,366.15
2384.0,2400.0,369.675
2397.0,2421.0,373.275
2452.0,2470.5,376.925
2500.0,2520.0,380.675
2453.0,2480.0,384.8
2436.0,2450.5,388.75
2480.0,2494.0,392.275
2455.5,2470.0,395.575
2519.5,2532.0,398.925
2462.0,2481.0,404.45
2474.0,2502.0,407.875
2500.5,2525.0,411.575
2580.0,2594.5,416.125
2588.0,2611.0,420.675
2589.5,2606.0,423.975
2695.0,2710.0,427.35
2752.5,2786.0,430.05
2765.5,2798.0,434.0
2715.0,2745.0,441.725
2742.0,2774.0,450.5
2701.5,2730.0,453.875
2816.5,2850.0,458.875
2863.0,2891.0,465.7
2823.0,2847.0,471.075
2825.5,2857.0,475.65
2829.5,2858.0,481.65
2881.0,2908.0,487.475
2963.0,2975.0,497.25
2931.0,2935.0,504.275
2826.0,2840.0,511.675
2845.0,2875.0,518.9
2836.0,2858.0,527.375
2791.0,2822.0,532.5
2723.0,2750.0,539.8
2688.0,2723.0,546.35
2737.0,2772.0,553.925
2677.0,2715.0,560.275
2708.0,2750.0,568.25
2832.5,2870.0,571.8
2917.0,2947.0,573.6
2929.0,2962.5,573.975
2911.5,2945.0,577.65
3039.0,3044.0,570.1
3065.5,3083.5,571.625
3100.0,3117.0,574.55
3102.5,3118.0,579.6
3090.0,3105.0,584.05
3244.0,3261.0,586.0
3262.0,3276.0,589.725
3240.0,3250.0,592.175
3312.0,3326.0,603.65
3237.5,3266.0,608.0
3207.0,3238.5,612.275
3214.5,3245.0,610.775
3234.5,3251.0,609.85
3395.0,3423.0,615.75
3346.0,3374.0,619.775
3443.5,3467.0,619.875
3415.0,3441.0,623.325
3444.0,3461.0,629.775
3483.0,3499.0,635.975
3503.0,3518.0,646.85
3508.0,3527.0,654.475
3583.0,3608.0,663.225
3606.0,3616.0,671.025
3583.0,3590.5,678.1
3664.0,3675.5,684.25
3560.0,3560.0,689.575
3550.5,3550.5,695.825
3518.0,3525.0,704.85
3380.5,3400.0,715.225
3288.0,3317.0,724.7
3306.0,3327.0,733.9
3217.5,3254.0,742.2
3399.0,3411.0,752.85
3472.0,3500.0,755.95
3535.0,3531.0,762.775
3532.0,3535.0,771.175
3500.5,3516.0,779.35
3984.5,3968.0,786.475
3851.0,3820.0,794.15
3728.5,3704.0,801.1
3605.0,3570.0,809.75
3495.5,3464.0,814.275
3450.0,3447.0,824.025
3355.5,3314.0,823.125
3519.0,3445.0,824.15
3323.5,3290.0,833.9
3420.0,3366.5,835.125
3315.0,3270.0,843.475
3314.0,3265.0,849.275
3294.0,3241.0,855.525
3282.0,3242.0,857.225
3223.0,3195.0,860.25
3306.0,3232.0,868.95
3200.0,3180.0,875.25
3313.0,3287.0,880.975
3248.0,3225.5,761.95
3245.0,3195.5,767.7
3148.0,3111.0,768.25
3087.0,3065.0,775.475
3058.5,3035.0,781.9
3043.0,3028.0,782.225
3072.0,3049.0,788.425
3076.0,3052.0,799.475
3110.0,3085.5,811.05
3107.0,3096.0,823.525
3093.0,3080.0,835.0
3064.0,3061.0,845.625
3044.5,3031.0,859.8
3079.5,3061.0,865.95
3109.5,3082.0,873.65
3036.0,3027.0,878.75
3006.0,3006.0,884.125
3009.0,2996.0,892.8
2977.5,2980.0,891.55
2960.0,2970.0,895.0
3003.0,3014.0,898.525
2950.0,2962.0,902.85
2923.0,2934.5,911.5
2919.5,2932.0,916.875
2912.5,2923.5,921.4
2866.0,2885.0,926.8
2815.5,2823.0,934.375
2806.0,2810.0,939.2
2829.5,2825.5,943.5
2835.0,2818.5,959.7
2848.0,2841.5,964.175
2818.0,2830.0,968.65
2811.0,2829.0,970.425
2696.0,2716.0,971.6
2645.5,2675.0,975.825
2694.0,2711.0,979.6
2630.0,2645.0,984.65
2597.0,2590.0,990.55
2636.0,2631.0,977.4
2677.0,2651.0,909.65
2625.0,2619.0,913.2
2630.5,2634.0,890.65
2626.0,2627.0,894.35
2625.0,2620.0,893.65
2600.5,2586.0,898.45
2648.0,2629.0,882.8
