LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
8332.5,8360.0,134.525
8225.0,8242.0,134.125
8242.5,8270.0,133.85
8395.0,8412.0,110.4
8430.0,8430.0,107.4
8406.0,8426.0,107.425
8515.0,8535.0,104.275
8359.5,8380.5,102.9
8394.5,8435.0,99.225
8375.0,8396.0,97.65
8381.5,8420.0,97.525
8358.5,8394.0,96.625
8377.5,8406.0,95.425
8342.0,8373.0,95.425
8239.5,8274.0,95.325
8176.0,8211.0,92.2
8215.0,8258.0,91.4
8132.0,8194.0,90.875
8126.5,8182.0,90.15
8242.0,8297.0,85.375
8242.0,8276.0,84.9
8423.5,8464.5,83.0
8395.0,8428.0,81.0
8276.0,8325.0,80.3
8495.0,8542.0,79.325
8450.5,8505.0,79.325
8472.0,8517.0,76.875
8545.0,8589.0,75.275
8720.5,8768.0,74.175
8635.5,8670.5,68.35
8592.0,8630.0,64.425
8578.5,8620.0,62.25
8534.0,8576.0,60.7
8597.0,8628.0,60.775
8430.0,8468.0,60.225
8422.0,8449.0,59.9
8543.0,8569.0,58.8
8354.0,8384.0,59.325
8410.0,8445.0,59.2
8460.5,8468.0,59.175
8651.0,8666.0,57.175
8585.0,8586.0,54.225
8367.0,8383.0,54.45
8371.0,8388.0,57.075
8286.0,8298.0,59.425
8299.0,8312.0,62.975
8280.0,8295.5,65.175
8251.0,8270.0,67.2
8349.0,8355.5,66.775
8355.0,8355.0,69.7
8210.0,8210.0,72.975
8165.5,8175.0,75.425
8268.0,8279.0,75.275
8367.0,8360.0,77.05
8437.0,8422.0,80.1
8490.0,8478.0,79.3
8670.5,8668.0,80.4
8490.0,8498.0,84.725
8565.0,8550.0,86.325
8542.0,8550.0,88.425
8561.0,8575.0,90.625
8479.0,8482.5,79.525
8457.0,8466.5,84.25
8421.5,8444.0,89.3
8287.0,8320.0,95.4
8368.0,8391.0,97.65
8243.0,8263.0,99.45
8352.0,8354.0,100.1
8311.0,8322.0,99.825
8265.0,8263.0,98.95
8337.0,8345.0,98.675
8210.5,8227.0,99.525
8017.0,8047.5,99.15
8122.0,8142.0,99.7
8082.0,8113.0,97.725
7922.0,7960.0,96.95
7910.0,7960.5,96.675
7961.0,8037.0,95.025
8094.0,8151.5,92.25
8222.0,8272.0,91.975
8171.5,8217.0,90.525
8176.0,8209.0,86.625
8076.0,8129.0,83.825
8287.0,8334.0,76.875
8240.0,8275.0,76.625
8267.0,8295.0,75.95
8469.0,8503.0,75.375
8583.0,8607.0,71.675
8488.0,8509.0,70.425
8539.0,8557.0,67.775
8486.0,8517.0,67.3
8573.0,8593.0,66.35
8571.0,8586.0,64.55
8465.5,8488.0,62.675
8579.0,8585.5,61.825
8521.0,8552.0,60.775
8762.5,8778.0,53.875
8816.0,8826.0,51.875
8875.0,8885.0,51.85
8875.0,8888.0,51.175
8966.0,8971.5,53.05
8985.0,8983.0,51.775
9082.0,9086.0,51.55
9001.5,8995.0,54.425
8803.0,8808.5,56.8
8837.5,8842.0,62.275
8836.0,8836.0,65.425
8780.0,8785.0,65.25
8930.0,8931.0,66.1
8966.0,8970.0,63.85
8935.0,8934.0,64.725
9038.5,9039.0,69.525
9052.0,9045.0,68.075
8934.0,8949.0,68.4
8876.0,8894.5,70.6
8927.0,8932.0,72.675
8917.0,8917.0,73.475
8880.5,8875.0,74.6
8824.0,8812.0,76.4
8677.0,8672.0,76.925
8621.0,8625.0,74.7
8535.0,8537.0,74.975
8525.0,8555.0,73.4
8905.0,8904.0,70.175
8651.0,8667.0,71.3
8755.0,8771.0,71.725
8808.0,8827.0,72.375
8810.0,8825.0,73.35
8824.0,8854.0,74.375
8819.0,8845.5,72.4
8945.0,8979.0,70.55
8896.0,8922.0,64.225
9066.5,9081.0,63.2
8844.0,8852.0,64.1
8751.0,8769.0,64.275
8807.0,8826.5,63.775
9060.0,9088.0,65.0
9121.0,9132.0,65.425
9103.5,9125.0,65.225
9015.0,9044.0,65.5
8871.0,8912.0,64.825
8892.0,8932.0,64.975
8826.0,8862.0,65.975
8931.5,8958.0,63.8
8912.0,8942.0,62.575
8905.0,8933.0,63.1
8953.5,8981.5,64.475
9006.0,9033.0,65.1
8865.0,8891.5,66.475
8891.5,8927.0,67.45
9060.0,9075.0,70.0
9114.0,9135.5,72.45
9175.0,9202.0,74.375
9075.0,9105.0,75.225
9227.0,9258.0,76.1
9345.5,9365.0,73.975
9288.5,9320.0,75.9
9258.0,9289.0,77.1
9308.0,9335.0,78.15
9340.5,9360.0,78.3
9232.0,9246.0,80.025
9190.0,9194.5,81.6
9436.0,9430.0,81.925
9114.0,9124.0,83.325
9145.5,9174.0,83.6
9107.0,9131.0,83.85
9071.5,9090.0,84.55
8987.0,8995.0,84.8
8766.5,8795.0,84.775
8722.0,8746.0,85.15
8362.5,8387.0,86.4
8420.0,8438.0,87.775
8209.0,8237.0,88.575
8390.0,8408.0,88.55
8387.0,8400.0,88.925
8395.0,8405.0,86.025
8451.0,8471.0,81.4
8308.5,8326.0,81.475
8345.5,8365.0,81.1
8327.0,8355.0,81.35
8302.0,8326.0,82.6
8331.0,8366.0,83.575
8231.5,8276.0,84.1
8383.0,8422.0,83.725
8415.0,8457.0,85.525
8381.0,8433.0,81.875
8371.5,8415.0,84.3
8490.5,8525.0,85.425
8537.0,8547.0,87.375
8334.0,8375.0,88.475
8355.5,8400.0,86.375
8440.0,8470.0,86.725
8342.0,8364.0,87.45
8216.5,8251.0,88.275
8198.0,8205.0,89.7
8035.5,8055.0,90.9
7966.0,7985.0,91.2
8070.0,8104.0,90.75
7990.5,8025.0,90.15
7962.0,8000.0,91.525
7996.0,8029.0,91.875
7900.5,7940.0,91.25
8047.0,8086.0,89.75
8155.0,8186.5,89.925
8315.0,8345.0,89.675
8343.0,8379.0,89.975
8346.0,8362.0,86.8
8441.0,8437.0,77.875
8065.0,8046.0,80.025
8035.0,8011.0,80.975
7974.0,7967.0,83.075
7954.5,7936.0,84.55
7905.0,7876.0,88.6
7510.0,7485.0,93.975
7705.0,7655.0,102.225
7745.0,7675.0,106.425
7525.0,7442.0,113.125
7663.5,7610.0,119.375
7777.0,7707.0,125.825
7762.5,7668.0,130.8
7536.0,7450.0,134.4
7661.0,7562.0,134.7
7545.0,7457.0,137.325
7585.5,7505.5,136.7
7420.0,7370.0,139.0
7536.0,7490.0,143.825
7715.0,7615.0,142.95
7688.0,7585.5,145.65
7663.0,7575.0,145.4
7625.5,7565.0,145.525
7587.0,7525.0,145.75
7655.0,7586.5,143.775
7575.5,7554.0,143.775
7744.0,7706.0,140.2
7661.0,7607.0,138.65
7596.0,7545.0,136.75
7524.0,7410.0,135.75
7647.0,7540.5,135.25
7660.5,7560.0,134.9
7353.0,7291.5,133.55
7475.0,7400.0,130.85
7449.0,7350.0,129.0
7446.0,7410.0,124.725
7815.0,7737.0,122.775
7761.5,7710.5,118.0
7796.0,7755.0,107.15
