date,model_name,rmse,mae,mape

2023-09-20 00:00:00,AR-baseline-spot,162.829,133.02,1.6
2023-09-20 00:00:00,ARIMA-spot,219.109,190.849,2.3
2023-09-20 00:00:00,SARIMAX-spot,1215.044,1082.155,12.9
2023-09-20 00:00:00,ARIMAX-spot,214.25,186.273,2.1999999999999997
2023-09-20 00:00:00,DT-model,148.786,120.557,1.4000000000000001
2023-09-20 00:00:00,RFR-model_no_stock,235.581,198.995,2.4
2023-09-20 00:00:00,RFR-model,171.538,144.442,1.7000000000000002
2023-09-20 00:00:00,GBR-model_full,171.538,144.442,1.7000000000000002
2023-09-20 00:00:00,GBR-model_futures,171.538,144.442,1.7000000000000002
2023-09-20 00:00:00,Stacking,287.85,250.559,3.0
2023-09-20 00:00:00,AR-baseline-spot,132.793,105.101,1.3
2023-09-20 00:00:00,ARIMA-spot,165.835,140.814,1.7000000000000002
2023-09-20 00:00:00,SARIMAX-spot,941.752,838.977,10.0
2023-09-20 00:00:00,ARIMAX-spot,159.77,134.86,1.6
2023-09-20 00:00:00,DT-model,149.047,120.99,1.4000000000000001
2023-09-20 00:00:00,RFR-model_no_stock,234.956,198.351,2.4
2023-09-20 00:00:00,RFR-model,201.981,172.839,2.1
2023-09-20 00:00:00,GBR-model_full,201.981,172.839,2.1
2023-09-20 00:00:00,GBR-model_futures,201.981,172.839,2.1
2023-09-20 00:00:00,Stacking,306.516,268.418,3.2
2023-09-20 00:00:00,Stacking,604.981,560.419,6.7
2023-09-20 00:00:00,Stacking,439.016,376.726,4.5
2023-09-21 00:00:00,AR-baseline-spot,243.866,212.7,2.6
2023-09-21 00:00:00,ARIMA-spot,319.128,294.096,3.5000000000000004
2023-09-21 00:00:00,SARIMAX-spot,1640.64,1476.358,17.7
2023-09-21 00:00:00,ARIMAX-spot,316.353,291.384,3.4000000000000004
2023-09-21 00:00:00,DT-model,149.666,121.685,1.4000000000000001
2023-09-21 00:00:00,RFR-model_no_stock,228.946,192.423,2.3
2023-09-21 00:00:00,RFR-model,222.076,192.628,2.3
2023-09-21 00:00:00,GBR-model_full,222.076,192.628,2.3
2023-09-21 00:00:00,GBR-model_futures,222.076,192.628,2.3
2023-09-21 00:00:00,Stacking,655.927,547.202,6.5
2023-09-21 00:00:00,LR-model,271.935,218.627,2.6
2023-09-21 00:00:00,PMARIMA-spot,1640.64,1476.358,17.7
