date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-spot,38.415,32.112,1.5
2023-09-26 00:00:00,ARIMA-spot,38.023,30.698,1.4000000000000001
2023-09-26 00:00:00,PMARIMA-spot,100.894,87.51,4.1000000000000005
2023-09-26 00:00:00,SARIMAX-spot,100.894,87.51,4.1000000000000005
2023-09-26 00:00:00,ARIMAX-spot,38.069,30.554,1.4000000000000001
2023-09-26 00:00:00,LR-model,148.705,135.679,6.4
2023-09-26 00:00:00,DT-model,251.193,248.41,11.600000000000001
2023-09-26 00:00:00,DT_simple-model,251.193,248.41,11.600000000000001
2023-09-26 00:00:00,RFR-model_no_stock,221.13,217.877,10.2
2023-09-26 00:00:00,RFR-model,221.047,217.793,10.2
2023-09-26 00:00:00,GBR-model_full,117.175,103.99,4.9
2023-09-26 00:00:00,GBR-model_futures,117.764,102.495,4.8
2023-09-26 00:00:00,Stacking,210.127,190.611,8.9
2023-09-26 00:00:00,ARIMA-spot,40.249,34.197,1.6
