date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-spot,79.696,65.453,3.0
2023-09-26 00:00:00,ARIMA-spot,80.155,65.732,3.0
2023-09-26 00:00:00,PMARIMA-spot,237.453,228.493,10.5
2023-09-26 00:00:00,SARIMAX-spot,237.453,228.493,10.5
2023-09-26 00:00:00,ARIMAX-spot,72.893,61.817,2.8000000000000003
2023-09-26 00:00:00,LR-model,116.683,87.226,3.9
2023-09-26 00:00:00,DT-model,123.135,94.376,4.3
2023-09-26 00:00:00,DT_simple-model,123.135,94.376,4.3
2023-09-26 00:00:00,RFR-model_no_stock,138.597,105.809,4.8
2023-09-26 00:00:00,RFR-model,138.203,105.227,4.7
2023-09-26 00:00:00,GBR-model_full,93.075,70.236,3.2
2023-09-26 00:00:00,GBR-model_futures,77.851,67.445,3.1
2023-09-26 00:00:00,Stacking,85.792,64.082,2.9000000000000004
2023-09-27 00:00:00,AR-baseline-spot,86.315,65.838,3.0
2023-09-27 00:00:00,ARIMA-spot,89.385,68.136,3.1
2023-09-27 00:00:00,PMARIMA-spot,170.389,133.933,6.0
2023-09-27 00:00:00,SARIMAX-spot,170.389,133.933,6.0
2023-09-27 00:00:00,ARIMAX-spot,83.564,63.71,3.0
2023-09-27 00:00:00,LR-model,117.651,88.68,4.0
2023-09-27 00:00:00,DT-model,124.791,96.39,4.3999999999999995
2023-09-27 00:00:00,DT_simple-model,124.791,96.39,4.3999999999999995
2023-09-27 00:00:00,RFR-model_no_stock,140.25,107.919,4.9
2023-09-27 00:00:00,RFR-model,139.861,107.352,4.8
2023-09-27 00:00:00,GBR-model_full,93.585,71.194,3.2
2023-09-27 00:00:00,GBR-model_futures,83.339,67.005,3.0
2023-09-27 00:00:00,Stacking,87.097,65.391,2.9000000000000004
