date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-spot,695.11,538.61,2.6
2023-09-26 00:00:00,ARIMA-spot,713.409,550.238,2.6
2023-09-26 00:00:00,PMARIMA-spot,3731.775,3307.652,16.3
2023-09-26 00:00:00,SARIMAX-spot,3731.775,3307.652,16.3
2023-09-26 00:00:00,ARIMAX-spot,691.779,542.832,2.7
2023-09-26 00:00:00,LR-model,2613.665,2533.536,12.4
2023-09-26 00:00:00,DT-model,3682.005,3618.68,17.9
2023-09-26 00:00:00,DT_simple-model,3682.005,3618.68,17.9
2023-09-26 00:00:00,RFR-model_no_stock,3716.638,3653.913,18.0
2023-09-26 00:00:00,RFR-model,3716.638,3653.913,18.0
2023-09-26 00:00:00,GBR-model_full,949.4,834.775,4.1000000000000005
2023-09-26 00:00:00,GBR-model_futures,1331.871,1156.049,5.7
2023-09-26 00:00:00,Stacking,1626.636,1483.374,7.3
2023-09-27 00:00:00,AR-baseline-spot,974.76,810.438,3.9
2023-09-27 00:00:00,ARIMA-spot,1017.529,858.318,4.1000000000000005
