date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-stock,35.486,26.027,24.9
2023-09-26 00:00:00,ARIMA-stock,36.531,26.561,24.9
2023-09-26 00:00:00,PMARIMA-stock,86.839,65.152,58.099999999999994
2023-09-26 00:00:00,SARIMAX-stock,86.839,65.152,58.099999999999994
2023-09-26 00:00:00,LR-model,37.732,32.901,42.1
2023-09-26 00:00:00,DT-model,34.857,25.827,25.2
2023-09-26 00:00:00,RFR-model,33.386,25.532,26.200000000000003
2023-09-26 00:00:00,GBR-model_full,37.005,27.813,27.0
2023-09-26 00:00:00,Stacking,35.146,29.662,35.6
