date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-stock,13.539,11.278,2.1999999999999997
2023-09-26 00:00:00,ARIMA-stock,30.948,26.628,5.3
2023-09-26 00:00:00,PMARIMA-stock,113.181,97.02,19.3
2023-09-26 00:00:00,SARIMAX-stock,113.181,97.02,19.3
2023-09-26 00:00:00,LR-model,301.046,300.33,59.0
2023-09-26 00:00:00,DT-model,21.388,18.489,3.6999999999999997
2023-09-26 00:00:00,RFR-model,31.982,28.307,5.6000000000000005
2023-09-26 00:00:00,GBR-model_full,36.087,32.947,6.6000000000000005
2023-09-26 00:00:00,Stacking,578.337,554.765,108.2
