date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-stock,14.597,12.719,22.3
2023-09-26 00:00:00,ARIMA-stock,14.541,12.668,22.2
2023-09-26 00:00:00,PMARIMA-stock,10.178,8.538,14.899999999999999
2023-09-26 00:00:00,SARIMAX-stock,10.178,8.538,14.899999999999999
2023-09-26 00:00:00,LR-model,10.441,8.679,16.2
2023-09-26 00:00:00,DT-model,20.597,19.101,34.2
2023-09-26 00:00:00,RFR-model,20.298,18.778,33.6
2023-09-26 00:00:00,GBR-model_full,16.97,15.056,26.5
2023-09-26 00:00:00,Stacking,11.464,10.069,20.1
2023-09-27 00:00:00,AR-baseline-stock,14.932,12.974,22.6
2023-09-27 00:00:00,ARIMA-stock,14.791,12.823,22.3
