date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-stock,44.07,34.194,26.8
2023-09-26 00:00:00,ARIMA-stock,39.96,30.521,23.799999999999997
2023-09-26 00:00:00,PMARIMA-stock,62.66,50.251,40.0
2023-09-26 00:00:00,SARIMAX-stock,62.66,50.251,40.0
2023-09-26 00:00:00,LR-model,64.924,58.154,49.9
2023-09-26 00:00:00,DT-model,41.069,31.481,24.6
2023-09-26 00:00:00,RFR-model,41.168,31.574,24.7
2023-09-26 00:00:00,GBR-model_full,34.75,27.071,21.4
2023-09-26 00:00:00,Stacking,18.984,16.049,14.7
2023-09-27 00:00:00,AR-baseline-stock,44.785,35.103,27.6
2023-09-27 00:00:00,ARIMA-stock,40.39,31.126,24.4
