LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2314.0,2245.0,52.55
2285.0,2219.0,52.975
2287.0,2232.5,54.275
2300.0,2231.0,55.65
2274.0,2220.0,55.35
2238.5,2215.0,55.35
2306.0,2271.0,54.85
2213.5,2192.0,55.1
2221.0,2203.0,54.675
2175.0,2154.0,54.875
2178.0,2166.0,54.575
2214.0,2189.0,54.65
2190.0,2178.0,55.275
2195.0,2182.0,56.025
2168.0,2147.0,56.225
2154.0,2140.0,56.45
2144.0,2139.0,56.425
2123.0,2125.0,56.85
2099.0,2107.0,56.1
2088.0,2103.0,56.125
2118.0,2123.0,55.875
2122.0,2132.0,55.875
2119.0,2128.0,56.475
2110.0,2119.5,56.525
2143.0,2154.0,56.525
2128.0,2140.0,57.125
2139.5,2147.5,56.125
2144.0,2145.0,55.225
2152.0,2150.5,55.075
2150.0,2155.0,54.2
2157.0,2157.0,52.775
2170.0,2173.0,52.975
2140.0,2153.5,52.1
2157.0,2159.0,51.85
2136.5,2142.0,51.625
2130.0,2136.0,51.35
2082.0,2092.5,50.4
2082.0,2094.0,50.35
2094.0,2103.0,49.025
2080.5,2093.0,48.425
2114.0,2125.0,47.4
2115.0,2111.0,46.65
2077.0,2071.0,45.675
2072.0,2057.5,45.8
2066.0,2058.0,44.35
2038.0,2033.0,44.1
2059.0,2061.0,42.925
2092.0,2077.5,42.375
2115.0,2091.0,41.375
2117.5,2082.0,41.375
2105.0,2065.0,41.225
2102.0,2054.0,41.225
2130.5,2088.0,40.15
2169.0,2095.5,39.9
2159.0,2099.0,39.775
2190.0,2137.5,39.775
2222.0,2164.0,39.775
2242.0,2146.5,39.775
2185.0,2122.0,39.1
2197.0,2148.0,38.4
2174.0,2132.0,38.4
2165.0,2133.0,38.4
2147.0,2107.0,38.4
2106.0,2077.0,37.85
2090.0,2073.0,37.15
2060.0,2048.0,37.15
2029.5,2020.5,37.15
2057.0,2039.0,37.15
2035.0,2029.0,37.15
2040.0,2028.5,36.8
2010.0,2006.0,36.45
1989.0,1991.0,36.45
2035.5,2032.0,36.175
2078.0,2073.0,35.825
2059.0,2063.0,35.475
2032.5,2031.5,35.475
2057.0,2058.5,34.975
2072.0,2071.0,34.475
2095.0,2085.0,34.175
2096.0,2086.0,33.925
2049.5,2054.0,33.925
2050.0,2060.0,33.6
2060.0,2074.0,33.3
2065.0,2077.0,32.9
2094.0,2095.0,32.9
2120.0,2126.0,32.9
2122.5,2137.0,32.6
2118.0,2121.0,32.6
2104.0,2118.0,23.6
2126.0,2132.0,32.6
2145.0,2146.5,32.3
2171.0,2158.0,32.3
2162.0,2131.0,32.3
2122.0,2106.0,32.3
2123.0,2105.5,32.0
2162.0,2134.5,32.0
2164.0,2133.0,32.1
2204.0,2165.0,32.2
2184.0,2163.0,32.25
2156.0,2134.0,31.35
2159.0,2133.0,31.35
2132.0,2108.0,31.35
2185.0,2164.0,26.4
2162.0,2132.0,26.6
2142.0,2107.0,26.1
2121.0,2098.0,26.375
2128.0,2120.5,26.375
2119.5,2120.0,26.375
2122.0,2119.0,26.375
2137.0,2126.0,26.375
2145.0,2128.0,26.375
2174.0,2147.0,26.375
2182.0,2153.0,25.675
2156.0,2141.0,25.675
2125.0,2113.0,25.675
2135.0,2116.0,25.7
2146.5,2134.0,25.725
2150.0,2123.0,25.725
2130.0,2111.0,25.725
2104.0,2096.0,25.725
2067.5,2069.0,25.725
2055.0,2064.0,25.725
2079.0,2084.0,25.275
2099.0,2100.0,25.275
2063.0,2070.0,25.275
2077.0,2075.0,25.275
2076.0,2081.5,25.575
2087.0,2090.0,24.775
2088.0,2092.0,24.775
2117.0,2123.0,24.775
2138.0,2138.0,24.975
2108.0,2110.0,25.075
2138.0,2135.0,25.1
2083.0,2083.0,25.1
2107.0,2102.0,25.1
2066.0,2068.0,25.1
2089.5,2092.0,25.1
2143.0,2144.0,24.95
2156.0,2160.0,25.15
2087.0,2096.0,24.975
2048.0,2050.5,25.0
2034.0,2047.0,24.7
2062.5,2067.0,24.5
2096.5,2111.0,22.125
2089.0,2094.0,22.125
2096.0,2097.0,22.125
2130.0,2125.0,22.15
2130.0,2121.0,22.175
2069.0,2081.0,22.175
2102.0,2116.0,20.2
2113.5,2127.0,20.2
2131.0,2140.0,20.225
2145.0,2154.0,20.225
2142.0,2150.0,20.25
2171.0,2168.0,20.25
2207.0,2199.0,20.25
2199.0,2188.0,20.25
2148.0,2147.0,20.25
2063.0,2068.0,20.25
2105.0,2105.0,20.25
2142.0,2144.0,20.25
2163.0,2155.0,20.975
2218.0,2209.0,20.975
2241.0,2224.0,21.525
2288.0,2245.0,21.525
2215.0,2195.0,21.55
2155.0,2142.0,21.55
2202.0,2183.0,21.85
2208.0,2195.0,23.375
2318.0,2287.0,25.775
2235.0,2196.0,25.8
2298.5,2243.0,25.9
2331.0,2267.0,25.15
2322.0,2268.0,25.15
2335.0,2281.0,25.15
2314.0,2270.0,25.15
2303.0,2268.0,25.0
2280.0,2238.0,24.35
2277.0,2236.0,24.35
2217.0,2187.5,24.35
2175.0,2167.0,24.35
2179.0,2168.5,24.35
2156.0,2162.0,24.35
2133.0,2144.0,24.35
2147.0,2153.0,24.35
2201.0,2210.0,24.35
2190.0,2195.0,24.35
2207.0,2222.0,24.35
2199.0,2218.0,23.75
2206.0,2224.0,23.75
2210.0,2228.0,23.75
2194.5,2214.0,23.75
2171.0,2185.0,23.75
2155.0,2170.0,23.75
2164.0,2170.0,23.75
2122.0,2137.0,23.95
2107.0,2116.0,24.35
2135.0,2140.0,25.35
2128.0,2140.0,26.65
2082.0,2096.0,27.575
2095.5,2113.0,28.375
2113.0,2127.0,29.0
2175.0,2184.0,29.625
2147.0,2160.0,29.625
2209.0,2200.0,30.025
2212.5,2219.0,26.75
2175.0,2169.0,26.75
2156.5,2157.0,26.8
2065.0,2058.0,27.1
2060.0,2054.0,27.125
2030.0,2034.0,27.625
2015.0,2010.0,27.625
2022.0,2015.0,27.625
1986.0,1980.0,27.625
1978.0,1965.0,27.625
2009.0,1997.0,27.625
