LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
20050.0,20260.0,38.28
19905.0,20125.0,37.98
20130.0,20310.0,37.386
20550.0,20720.0,37.416
20800.0,20960.0,37.164
20550.0,20775.0,37.17
20475.0,20700.0,37.17
20225.0,20350.0,37.194
20235.0,20455.0,37.206
20355.0,20600.0,36.936
20900.0,21100.0,36.936
20400.0,20600.0,37.008
20525.0,20775.0,37.008
20215.0,20475.0,37.014
20050.0,20130.0,37.014
19925.0,20200.0,37.038
19850.0,20135.0,37.11
19850.0,20175.0,37.17
19685.0,20000.0,37.182
19825.0,20050.0,37.014
20000.0,20260.0,37.044
20225.0,20530.0,36.924
20450.0,20640.0,36.948
20650.0,20850.0,37.044
21250.0,21550.0,37.044
20980.0,21210.0,37.11
21300.0,21450.0,36.972
21700.0,21845.0,37.206
22355.0,22700.0,37.512
21625.0,21905.0,37.536
21650.0,21925.0,37.542
21395.0,21645.0,37.59
21575.0,21875.0,37.59
21350.0,21625.0,37.614
20605.0,20850.0,37.758
20810.0,21150.0,37.518
21155.0,21400.0,37.518
20700.0,20910.0,37.56
20600.0,20850.0,36.924
20710.0,21025.0,37.308
21305.0,21550.0,37.458
21150.0,21350.0,37.482
20950.0,21130.0,37.626
20460.0,20705.0,37.878
20685.0,20830.0,37.944
20370.0,20675.0,38.208
21135.0,21260.0,38.268
20175.0,20405.0,38.364
20300.0,20525.0,38.484
20160.0,20450.0,38.508
20125.0,20275.0,38.85
19745.0,20000.0,38.904
19855.0,20055.0,39.348
20335.0,20525.0,39.348
20560.0,20800.0,39.468
20895.0,21050.0,38.868
21210.0,21350.0,39.084
21350.0,21550.0,39.156
21830.0,21950.0,37.782
22465.0,22650.0,36.81
23140.0,23275.0,37.026
22725.0,22950.0,37.11
22155.0,22305.0,37.116
21250.0,21350.0,37.704
21100.0,21275.0,37.746
21390.0,21560.0,37.23
21110.0,21300.0,37.386
21005.0,21150.0,37.386
21050.0,21175.0,37.53
20610.0,20705.0,37.59
21490.0,21585.0,37.602
20850.0,20950.0,37.686
20450.0,20540.0,37.782
21235.0,21500.0,38.172
21450.0,21595.0,38.7
21125.0,21395.0,38.916
20900.0,21100.0,39.06
20760.0,20985.0,39.06
21275.0,21425.0,39.078
21465.0,21685.0,39.174
21275.0,21350.0,39.174
21320.0,21425.0,39.198
21400.0,21550.0,39.27
22200.0,22200.0,39.294
22285.0,22300.0,39.294
22250.0,22300.0,39.252
