LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2437.5,2465.0,141.775
2406.0,2430.0,143.425
2428.5,2450.0,145.175
2435.5,2461.0,148.4
2456.0,2476.0,151.575
2455.0,2477.0,153.575
2457.0,2480.0,153.575
2412.5,2425.5,153.975
2425.5,2444.0,147.875
2420.0,2429.0,149.025
2375.5,2391.0,149.35
2363.0,2386.0,149.8
2328.5,2352.0,150.175
2336.0,2355.0,146.975
2270.5,2293.0,145.55
2261.0,2282.0,145.975
2312.0,2325.0,142.775
2282.0,2290.0,141.75
2313.0,2315.0,106.9
2357.0,2345.0,92.175
2415.5,2399.0,91.8
2477.0,2453.0,91.575
2500.0,2464.0,88.825
2448.0,2425.0,90.0
2500.0,2494.0,91.65
2482.0,2482.0,94.9
2462.5,2461.5,97.925
2527.0,2535.0,99.225
2554.0,2554.0,99.35
2550.0,2540.0,99.675
2485.0,2482.0,99.15
2485.0,2487.0,96.075
2455.0,2466.0,87.95
2447.0,2456.0,88.625
2366.0,2387.0,89.175
2358.0,2380.0,90.725
2402.0,2420.0,90.75
2350.0,2367.5,90.825
2348.0,2368.0,80.375
2354.0,2382.0,69.725
2413.0,2438.0,70.775
2462.0,2481.5,71.75
2360.0,2375.0,72.15
2361.0,2379.0,72.925
2341.5,2356.0,73.5
2337.5,2348.5,73.975
2365.0,2372.0,74.775
2357.0,2359.5,76.475
2370.0,2380.0,78.075
2361.5,2374.0,80.275
2363.0,2375.0,80.825
2326.0,2334.5,80.925
2348.0,2356.0,77.825
2362.0,2376.0,78.25
2331.5,2346.0,78.6
2362.5,2379.0,78.775
2442.5,2456.5,78.825
2338.0,2359.0,79.825
2375.0,2399.0,80.025
2431.5,2437.0,80.1
2485.0,2487.0,80.975
2461.0,2461.0,82.725
2450.0,2443.5,83.1
2382.0,2382.0,84.875
2356.5,2363.5,85.5
2397.0,2403.0,85.8
2371.0,2371.0,86.525
2382.0,2380.5,86.625
2290.0,2298.0,87.275
2271.0,2278.0,87.45
2302.0,2323.0,87.45
2271.0,2286.5,87.45
2228.0,2250.0,87.5
2323.5,2342.0,74.325
2320.0,2337.0,74.55
2224.0,2236.5,63.45
2306.0,2320.0,45.4
2362.5,2373.0,45.775
2433.0,2442.0,46.275
2491.0,2500.0,46.975
