index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2023-09-30,2306.2264003787072,2145.1666666667,
2023-10-01,2304.69316606384,2147.0,
2023-10-02,2303.1602664303305,2156.5,
2023-10-03,2302.4761763140887,2147.0,
2023-10-04,2302.2001776643774,2150.0,
2023-10-05,2304.0086457769376,2131.0,
2023-10-06,2302.991988697548,2136.3333333333,
2023-10-07,2301.4580228441714,2141.6666666667,
2023-10-08,2299.934276044313,2147.0,
2023-10-09,2298.4117961597844,2179.5,
2023-10-10,2297.73810634351,2186.0,
2023-10-11,2297.4724852265003,2279.0,
2023-10-12,2299.2913081424676,2269.0,
2023-10-13,2298.284983186932,2261.0,
2023-10-14,2296.7613268275295,2253.0,
2023-10-15,2295.247866941331,2245.0,
2023-10-16,2293.7356514396033,2216.0,
2023-10-17,2293.07220352462,2186.5,
2023-10-18,2292.816801876631,2220.0,
2023-10-19,2294.6458218784815,2197.5,
2023-10-20,2293.6496716747156,2196.0,
2023-10-21,2292.136167781886,2194.5,
2023-10-22,2290.632838125873,2193.0,
2023-10-23,2289.130730666649,2226.5,
2023-10-24,2288.4773686550825,2215.0,
2023-10-25,2288.2320308199132,2220.0,
2023-10-26,2290.0710925923704,2203.0,
2023-10-27,2289.084962165276,2216.0,
2023-10-28,2287.5814561033553,2229.0,
2023-10-29,2286.088102380556,2242.0,
2023-10-30,2284.59594900481,2262.0,
2023-10-31,2283.952519274842,2227.0,
2023-11-01,2283.717091967144,2195.0,
2023-11-02,2285.5660425605915,2211.0,
2023-11-03,2284.58977929555,2217.3333333333,
2023-11-04,2283.0961187841826,2223.6666666667,
2023-11-05,2281.612589047771,2230.0,
2023-11-06,2280.130238141479,2195.0,
2023-11-07,2279.4965894111574,2205.0,
2023-11-08,2279.270921680323,2213.0,
2023-11-09,2281.1296104747735,2178.0,
2023-11-10,2280.163064081691,2167.5,
2023-11-11,2278.679099159955,2157.0,
2023-11-12,2277.205243777461,2146.5,
2023-11-13,2275.7325460358834,2140.0,
2023-11-14,2275.1085293274837,2144.0,
2023-11-15,2274.8924725220863,2171.5,
2023-11-16,2276.7607511916945,2139.0,
2023-11-17,2275.8037736695965,2133.6666666667,
2023-11-18,2274.329356660676,2128.3333333333,
2023-11-19,2272.865028278731,2123.0,
2023-11-20,2271.4018366712407,2174.0,
2023-11-21,2270.7873052761684,2180.0,
2023-11-22,2270.58071300894,2163.0,
2023-11-23,2272.458435487063,2160.5,
2023-11-24,2271.510881089228,2160.375,
2023-11-25,2270.045866565622,2160.25,
2023-11-26,2268.5909200752485,2160.125,
2023-11-27,2267.13708981069,2160.0,
2023-11-28,2266.531899254918,2179.5,
2023-11-29,2266.3346273682664,2204.0,
2023-11-30,2268.2216498130515,2234.0,
2023-12-01,2267.2833750126756,2221.6666666667,
2023-12-02,2265.82761976194,2209.3333333333,
2023-12-03,2264.381912264362,2197.0,
2023-12-04,2262.937300756945,2188.5,
2023-12-05,2262.34130876698,2206.0,
2023-12-06,2262.1532152990258,2180.0,
2023-12-07,2264.049396059524,2181.0,
2023-12-08,2263.1202595159093,2185.6666666667,
2023-12-09,2261.6736225069158,2190.3333333333,
2023-12-10,2260.2370132799,2195.0,
2023-12-11,2258.8014801156055,2199.0,
2023-12-12,2258.2145465849694,2197.0,
2023-12-13,2258.0354917361014,2235.0,
2023-12-14,2259.940691318899,2197.0,
2023-12-15,2259.0205538441555,2200.0,
2023-12-16,2257.5828961938696,2203.0,
2023-12-17,2256.1552466585686,2206.0,
2023-12-18,2254.7286535620715,2215.5,
2023-12-19,2254.1506405182968,2247.0,
2023-12-20,2253.980486618241,2212.0,
2023-12-21,2255.894567654594,2240.0,
2023-12-22,2254.9832921808493,2235.0,
2023-12-23,2253.554477121612,2230.0,
2023-12-24,2252.1356508099207,2225.0,
2023-12-25,2250.717861612014,2238.5,
2023-12-26,2250.148633184138,2226.0,
2023-12-27,2249.987244659522,2265.0,
2023-12-28,2251.9100718729974,2342.0,
