index,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2023-09-29,8115.318894352918,8258.3333333333,
2023-09-30,8113.222893452843,8306.6666666667,
2023-10-01,8111.238304345594,8355.0,
2023-10-02,8109.255022858738,8355.5,
2023-10-03,8105.767019724875,8270.0,
2023-10-04,8101.059489976732,8295.5,
2023-10-05,8102.651677786714,8312.0,
2023-10-06,8103.990609706636,8307.3333333333,
2023-10-07,8101.867939584463,8302.6666666667,
2023-10-08,8099.898390535392,8298.0,
2023-10-09,8097.931018280436,8388.0,
2023-10-10,8094.458921052346,8383.0,
2023-10-11,8089.767275274037,8586.0,
2023-10-12,8091.375324751034,8666.0,
2023-10-13,8092.730096057985,8600.0,
2023-10-14,8090.623243073968,8534.0,
2023-10-15,8088.66948894543,8468.0,
2023-10-16,8086.717889424593,8445.0,
2023-10-17,8083.261542775369,8384.0,
2023-10-18,8078.585625451793,8569.0,
2023-10-19,8080.2093812904695,8449.0,
2023-10-20,8081.579836897079,8455.3333333333,
2023-10-21,8079.48864618169,8461.6666666667,
2023-10-22,8077.550532321692,8468.0,
2023-10-23,8075.614551100211,8628.0,
2023-10-24,8072.173800812022,8576.0,
2023-10-25,8067.513457941973,8620.0,
2023-10-26,8069.15276635744,8630.0,
2023-10-27,8070.538752694832,8643.5,
2023-10-28,8068.463070894904,8657.0,
2023-10-29,8066.540444165691,8670.5,
2023-10-30,8064.619928320916,8768.0,
2023-10-31,8061.194621685912,8589.0,
2023-11-01,8056.549700776043,8517.0,
2023-11-02,8058.204409489155,8505.0,
2023-11-03,8059.6057744920845,8517.3333333333,
2023-11-04,8057.545449755974,8529.6666666667,
2023-11-05,8055.638158519199,8542.0,
2023-11-06,8053.732956625786,8325.0,
2023-11-07,8050.322942431322,8428.0,
2023-11-08,8045.693292481386,8464.5,
2023-11-09,8047.363250704001,8276.0,
2023-11-10,8048.779843796132,8283.0,
2023-11-11,8046.734725759008,8290.0,
2023-11-12,8044.842619861054,8297.0,
2023-11-13,8042.952581976297,8182.0,
2023-11-14,8039.557710490288,8194.0,
2023-11-15,8034.943181978524,8258.0,
2023-11-16,8036.628240398904,8211.0,
2023-11-17,8038.05991247823,8232.0,
2023-11-18,8036.029852247527,8253.0,
2023-11-19,8034.152783004965,8274.0,
2023-11-20,8032.277760654287,8373.0,
2023-11-21,8028.89788361071,8406.0,
2023-11-22,8024.298328479357,8394.0,
2023-11-23,8025.998339247713,8420.0,
2023-11-24,8027.444942672124,8414.0,
2023-11-25,8025.429792813113,8408.0,
2023-11-26,8023.567612998314,8402.0,
2023-11-27,8021.707459160887,8396.0,
2023-11-28,8018.342429745428,8435.0,
2023-11-29,8013.757701386396,8380.5,
2023-11-30,8015.4725181005715,8535.0,
2023-12-01,8016.933906673554,8498.6666666667,
2023-12-02,8014.933521195081,8462.3333333333,
2023-12-03,8013.086085021959,8426.0,
2023-12-04,8011.2406541164755,8430.0,
2023-12-05,8007.890326952318,8412.0,
2023-12-06,8003.3202801929965,8270.0,
2023-12-07,8005.049757884298,8242.0,
2023-12-08,8006.525786840789,8281.3333333333,
2023-12-09,8004.540021181136,8320.6666666667,
2023-12-10,8002.707184291029,8360.0,
2023-12-11,8000.876332161605,8365.0,
2023-12-12,7997.540563295354,8371.5,
2023-12-13,7992.985054384551,8465.0,
2023-12-14,7994.729049503708,8427.0,
2023-12-15,7996.219575496075,8414.0,
2023-12-16,7994.248286508961,8401.0,
2023-12-17,7992.429905956663,8388.0,
2023-12-18,7990.613489858877,8295.0,
2023-12-19,7987.292136746618,8336.0,
2023-12-20,7982.751023340645,8170.0,
2023-12-21,7984.5093937439115,8255.0,
2023-12-22,7986.014274828072,8228.3333333333,
2023-12-23,7984.0573207688,8201.6666666667,
2023-12-24,7982.253255008713,8175.0,
2023-12-25,7980.451133595792,8131.0,
2023-12-26,7977.144055089297,8075.0,
2023-12-27,7972.617196238189,8168.5,
