index,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2023-09-29,8695.526086956523,8258.3333333333,167.791237565
2023-09-30,8695.526086956523,8306.6666666667,167.8118913175
2023-10-01,8695.526086956523,8355.0,167.8362620139
2023-10-02,8695.526086956523,8355.5,167.8606058561
2023-10-03,8695.526086956523,8270.0,167.8048295205
2023-10-04,8695.526086956523,8295.5,168.077125981
2023-10-05,8695.526086956523,8312.0,168.2594883875
2023-10-06,8695.526086956523,8307.3333333333,168.2255024407
2023-10-07,8695.526086956523,8302.6666666667,168.2459327964
2023-10-08,8695.526086956523,8298.0,168.270080211
2023-10-09,8695.526086956523,8388.0,168.2942008862
2023-10-10,8695.526086956523,8383.0,168.2382014985
2023-10-11,8695.526086956523,8586.0,168.5102750215
2023-10-12,8695.526086956523,8666.0,168.6924146052
2023-10-13,8695.526086956523,8600.0,168.6582059503
2023-10-14,8695.526086956523,8534.0,168.6784137125
2023-10-15,8695.526086956523,8468.0,168.702338648
2023-10-16,8695.526086956523,8445.0,168.7262369586
2023-10-17,8695.526086956523,8384.0,168.6700153206
2023-10-18,8695.526086956523,8569.0,168.9418667078
2023-10-19,8695.526086956523,8449.0,169.1237842699
2023-10-20,8695.526086956523,8455.3333333333,169.0893537076
2023-10-21,8695.526086956523,8461.6666666667,169.1093396765
2023-10-22,8855.526470588236,8468.0,169.1330429328
2023-10-23,8855.526470588236,8628.0,169.1567196784
2023-10-24,8855.526470588236,8576.0,169.1002765892
2023-10-25,8855.526470588236,8620.0,169.3719066392
2023-10-26,8855.526470588236,8630.0,169.5536029779
2023-10-27,8855.526470588236,8643.5,169.5189513061
2023-10-28,8855.526470588236,8657.0,169.5387162792
2023-10-29,8855.526470588236,8670.5,169.5621986534
2023-10-30,8855.526470588236,8768.0,169.5856546305
2023-10-31,8855.526470588236,8589.0,169.5289908864
2023-11-01,8855.526470588236,8517.0,169.800400395
2023-11-02,8855.526470588236,8505.0,169.9818763057
2023-11-03,8855.526470588236,8517.3333333333,169.9470043193
2023-11-04,8855.526470588236,8529.6666666667,169.9665490912
2023-11-05,8695.526086956523,8542.0,169.9898113775
2023-11-06,8855.526470588236,8325.0,170.0130473798
2023-11-07,8281.789972899729,8428.0,169.9561637741
2023-11-08,8281.789972899729,8464.5,170.2273535342
2023-11-09,8281.789972899729,8276.0,170.4086098096
2023-11-10,8281.789972899729,8283.0,170.3735183007
2023-11-11,8281.789972899729,8290.0,170.3928436631
2023-11-12,8281.789972899729,8297.0,170.4158866527
2023-11-13,8281.789972899729,8182.0,170.4389034712
2023-11-14,8281.789972899729,8194.0,170.3818007945
2023-11-15,8281.789972899729,8258.0,170.6527715962
2023-11-16,8281.789972899729,8211.0,170.8338090257
2023-11-17,8281.789972899729,8232.0,170.7984987837
2023-11-18,8281.789972899729,8253.0,170.8176055255
2023-11-19,8281.789972899729,8274.0,170.8404300069
2023-11-20,8571.064171122996,8373.0,170.8632284296
2023-11-21,8571.064171122996,8406.0,170.8059074695
2023-11-22,8281.789972899729,8394.0,171.0766601
2023-11-23,8281.789972899729,8420.0,171.2574794707
2023-11-24,8281.789972899729,8414.0,171.221951282
2023-11-25,8281.789972899729,8408.0,171.2408401891
2023-11-26,8281.789972899729,8402.0,171.263446948
2023-11-27,8281.789972899729,8396.0,171.2860277601
2023-11-28,8281.789972899729,8435.0,171.2284893014
2023-11-29,8281.789972899729,8380.5,171.4990245452
2023-11-30,8281.789972899729,8535.0,171.679626641
2023-12-01,8281.789972899729,8498.6666666667,171.6438812892
2023-12-02,8281.789972899729,8462.3333333333,171.6625531449
2023-12-03,8281.789972899729,8426.0,171.684942964
2023-12-04,8281.789972899729,8430.0,171.707306948
2023-12-05,8281.789972899729,8412.0,171.6495517727
2023-12-06,8281.789972899729,8270.0,171.9198704114
2023-12-07,8281.789972899729,8242.0,172.1002560135
2023-12-08,8281.789972899729,8281.3333333333,172.0642942793
2023-12-09,8281.789972899729,8320.6666666667,172.082749864
2023-12-10,8281.789972899729,8360.0,172.1049235234
2023-12-11,8281.789972899729,8365.0,172.1270714588
2023-12-12,8281.789972899729,8371.5,172.0691003461
2023-12-13,8281.789972899729,8465.0,172.3392031585
2023-12-14,8281.789972899729,8427.0,172.5193730452
2023-12-15,8281.789972899729,8414.0,172.4831957067
2023-12-16,8281.789972899729,8401.0,172.501435798
2023-12-17,8281.789972899729,8388.0,172.5233940748
2023-12-18,8281.789972899729,8295.0,172.5453267385
2023-12-19,9301.68548387097,8336.0,172.4871404647
2023-12-20,8281.789972899729,8170.0,172.7570282267
2023-12-21,8281.789972899729,8255.0,172.9369831738
2023-12-22,8281.789972899729,8228.3333333333,172.9005910061
2023-12-23,8281.789972899729,8201.6666666667,172.9186163788
2023-12-24,8281.789972899729,8175.0,172.9403600474
2023-12-25,8281.789972899729,8131.0,172.9620782133
2023-12-26,8281.789972899729,8075.0,172.9036775521
2023-12-27,8281.789972899729,8168.5,173.173351037
