index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2023-09-29,2073.224087444846,2070.6666666667,76.5392321664
2023-09-30,2073.224087444846,2076.3333333333,76.5339883524
2023-10-01,2073.224087444846,2082.0,76.528522891
2023-10-02,2073.224087444846,2091.0,76.5230523677
2023-10-03,2073.224087444846,2077.5,76.6401257729
2023-10-04,2073.224087444846,2061.0,76.7577169134
2023-10-05,2073.224087444846,2033.0,76.7315638188
2023-10-06,2073.224087444846,2041.3333333333,76.6957564972
2023-10-07,2073.224087444846,2049.6666666667,76.6904732053
2023-10-08,2073.224087444846,2058.0,76.6849682759
2023-10-09,2073.224087444846,2057.5,76.6794582945
2023-10-10,2073.224087444846,2071.0,76.7964922517
2023-10-11,2148.9523558758315,2111.0,76.9140439539
2023-10-12,2148.9523558758315,2125.0,76.8878514311
2023-10-13,2073.224087444846,2114.3333333333,76.8520046913
2023-10-14,2073.224087444846,2103.6666666667,76.8466819911
2023-10-15,2073.224087444846,2093.0,76.8411376633
2023-10-16,2073.224087444846,2103.0,76.8355882935
2023-10-17,2148.9523558758315,2094.0,76.9525828721
2023-10-18,2148.9523558758315,2092.5,77.0700952058
2023-10-19,2148.9523558758315,2136.0,77.0438633244
2023-10-20,2148.9523558758315,2138.0,77.0079772359
2023-10-21,2073.224087444846,2140.0,77.0026151968
2023-10-22,2073.224087444846,2142.0,76.9970315402
2023-10-23,2073.224087444846,2159.0,76.9914428514
2023-10-24,2073.224087444846,2153.5,77.108398121
2023-10-25,2073.224087444846,2173.0,77.2258711556
2023-10-26,2073.224087444846,2157.0,77.1995999849
2023-10-27,2148.9523558758315,2156.3333333333,77.1636746171
2023-10-28,2148.9523558758315,2155.6666666667,77.1582733087
2023-10-29,2148.9523558758315,2155.0,77.1526503926
2023-10-30,2148.9523558758315,2150.5,77.1470224542
2023-10-31,2073.224087444846,2145.0,77.2639384841
2023-11-01,2073.224087444846,2147.5,77.3813722889
2023-11-02,2073.224087444846,2140.0,77.3550618984
2023-11-03,2073.224087444846,2144.6666666667,77.3190973205
2023-11-04,2073.224087444846,2149.3333333333,77.313656812
2023-11-05,2073.224087444846,2154.0,77.3079947056
2023-11-06,2073.224087444846,2119.5,77.3023275869
2023-11-07,2073.224087444846,2128.0,77.4192044464
2023-11-08,2073.224087444846,2132.0,77.5365990906
2023-11-09,2073.224087444846,2123.0,77.5102495494
2023-11-10,2073.224087444846,2116.3333333333,77.4742458307
2023-11-11,2073.224087444846,2109.6666666667,77.4687661912
2023-11-12,2073.224087444846,2103.0,77.4630649637
2023-11-13,2073.224087444846,2107.0,77.4573587338
2023-11-14,2073.224087444846,2125.0,77.5741964919
2023-11-15,2073.224087444846,2139.0,77.6915520446
2023-11-16,2073.224087444846,2140.0,77.6651634218
2023-11-17,2073.224087444846,2142.3333333333,77.6291206313
2023-11-18,2073.224087444846,2144.6666666667,77.6236019299
2023-11-19,2073.224087444846,2147.0,77.6178616504
2023-11-20,2073.224087444846,2182.0,77.6121163782
2023-11-21,1993.37518262987,2178.0,77.7289151039
2023-11-22,2073.224087444846,2189.0,77.8462316341
2023-11-23,2073.224087444846,2166.0,77.8198039986
2023-11-24,2073.224087444846,2163.0,77.7837222053
2023-11-25,2073.224087444846,2160.0,77.7781645108
2023-11-26,2073.224087444846,2157.0,77.7723852481
2023-11-27,1993.37518262987,2154.0,77.7666010026
2023-11-28,1993.37518262987,2203.0,77.8833607649
2023-11-29,1993.37518262987,2192.0,78.0006383413
2023-11-30,1993.37518262987,2271.0,77.9741717619
2023-12-01,1993.37518262987,2252.3333333333,77.9380510346
2023-12-02,1993.37518262987,2233.6666666667,77.9324544159
2023-12-03,1993.37518262987,2215.0,77.9266362388
2023-12-04,1993.37518262987,2220.0,77.9208130887
2023-12-05,1993.37518262987,2231.0,78.0375339562
2023-12-06,1993.37518262987,2232.5,78.1547726477
2023-12-07,2073.224087444846,2219.0,78.1282671931
2023-12-08,2073.224087444846,2227.6666666667,78.0921076004
2023-12-09,2073.224087444846,2236.3333333333,78.0864721262
2023-12-10,2073.224087444846,2245.0,78.0806151034
2023-12-11,2073.224087444846,2233.0,78.0747531173
2023-12-12,2073.224087444846,2210.0,78.1914351586
2023-12-13,2073.224087444846,2230.0,78.3086350338
2023-12-14,2073.224087444846,2245.5,78.2820907726
2023-12-15,2148.9523558758315,2244.1666666667,78.2458923831
2023-12-16,2148.9523558758315,2242.8333333333,78.2402181219
2023-12-17,2073.224087444846,2241.5,78.2343223218
2023-12-18,2148.9523558758315,2222.0,78.2284215683
2023-12-19,2148.9523558758315,2229.5,78.3450648519
2023-12-20,2073.224087444846,2185.0,78.4622259792
2023-12-21,2073.224087444846,2197.0,78.4356429799
2023-12-22,2073.224087444846,2198.6666666667,78.3994058621
2023-12-23,2073.224087444846,2200.3333333333,78.3936928823
2023-12-24,2073.224087444846,2202.0,78.3877583734
2023-12-25,2073.224087444846,2190.0,78.3818189209
2023-12-26,2073.224087444846,2160.5,78.4984235152
2023-12-27,2073.224087444846,2165.0,78.615545963
