index,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2023-09-29,2745.590076818606,2374.6666666667,104.5981022286
2023-09-30,2745.590076818606,2374.3333333333,104.4221438692
2023-10-01,2745.590076818606,2374.0,104.3773068582
2023-10-02,2745.590076818606,2380.0,104.3687384817
2023-10-03,2745.590076818606,2359.5,104.6940958449
2023-10-04,2745.590076818606,2372.0,105.1245082998
2023-10-05,2745.590076818606,2348.5,104.9931937921
2023-10-06,2745.590076818606,2351.0,104.5663603014
2023-10-07,2745.590076818606,2353.5,104.5851711151
2023-10-08,2745.590076818606,2356.0,104.604244955
2023-10-09,2745.590076818606,2379.0,104.6234239143
2023-10-10,2745.590076818606,2375.0,104.9590575434
2023-10-11,2745.590076818606,2481.5,105.3936061344
2023-10-12,2745.590076818606,2438.0,105.2638650008
2023-10-13,2745.590076818606,2419.3333333333,104.8376331836
2023-10-14,2745.590076818606,2400.6666666667,104.8566572897
2023-10-15,2745.590076818606,2382.0,104.8757936648
2023-10-16,2745.590076818606,2368.0,104.8949756901
2023-10-17,2745.590076818606,2367.5,105.2305891366
2023-10-18,2745.590076818606,2420.0,105.6651084128
2023-10-19,2745.590076818606,2380.0,105.5353343889
2023-10-20,2745.590076818606,2382.3333333333,105.1090682811
2023-10-21,2745.590076818606,2384.6666666667,105.1280575502
2023-10-22,2745.590076818606,2387.0,105.1471588767
2023-10-23,2745.590076818606,2456.0,105.1663057733
2023-10-24,2745.590076818606,2466.0,105.5018840623
2023-10-25,2745.590076818606,2487.0,105.9363681726
2023-10-26,2745.590076818606,2482.0,105.8065589823
2023-10-27,2745.590076818606,2501.3333333333,105.3802577105
2023-10-28,2745.590076818606,2520.6666666667,105.3992118195
2023-10-29,2745.590076818606,2540.0,105.4182779901
2023-10-30,2745.590076818606,2554.0,105.4373897352
2023-10-31,2745.590076818606,2535.0,105.7729328773
2023-11-01,2745.590076818606,2461.5,106.2073818452
2023-11-02,2745.590076818606,2482.0,106.077537517
2023-11-03,2745.590076818606,2486.0,105.6512011119
2023-11-04,2745.590076818606,2490.0,105.6701200921
2023-11-05,2745.590076818606,2494.0,105.6891511385
2023-11-06,2745.590076818606,2425.0,105.708227764
2023-11-07,2745.590076818606,2464.0,106.0437357909
2023-11-08,2745.590076818606,2453.0,106.4781496483
2023-11-09,2745.590076818606,2399.0,106.3482702141
2023-11-10,2745.590076818606,2381.0,105.9218987076
2023-11-11,2745.590076818606,2363.0,105.9407825909
2023-11-12,2745.590076818606,2345.0,105.959778545
2023-11-13,2745.590076818606,2315.0,105.9788200827
2023-11-14,2745.590076818606,2290.0,106.3142930264
2023-11-15,2745.590076818606,2325.0,106.7486718051
2023-11-16,2745.590076818606,2282.0,106.6187572968
2023-11-17,2745.590076818606,2285.6666666667,106.1923507206
2023-11-18,2745.590076818606,2289.3333333333,106.2111995389
2023-11-19,2154.606950099303,2293.0,106.2301604325
2023-11-20,2154.606950099303,2355.0,106.2491669142
2023-11-21,2154.606950099303,2352.0,106.5846048065
2023-11-22,2154.606950099303,2386.0,107.0189485384
2023-11-23,2154.606950099303,2391.0,106.8889989877
2023-11-24,2154.606950099303,2400.5,106.4625573738
2023-11-25,2154.606950099303,2410.0,106.4813711589
2023-11-26,2154.606950099303,2419.5,106.5002970238
2023-11-27,2154.606950099303,2429.0,106.5192684813
2023-11-28,2154.606950099303,2444.0,106.854671354
2023-11-29,2154.606950099303,2425.5,107.2889800708
2023-11-30,2154.606950099303,2480.0,107.1589955096
2023-12-01,2154.606950099303,2479.0,106.7325188897
2023-12-02,2154.606950099303,2478.0,106.7512976733
2023-12-03,2154.606950099303,2477.0,106.7701885413
2023-12-04,2154.606950099303,2476.0,106.7891250065
2023-12-05,2154.606950099303,2461.0,107.1244928914
2023-12-06,2154.606950099303,2450.0,107.5587666248
2023-12-07,2154.606950099303,2430.0,107.4287470848
2023-12-08,2154.606950099303,2441.6666666667,107.0022354907
2023-12-09,2154.606950099303,2453.3333333333,107.0209793047
2023-12-10,2154.606950099303,2465.0,107.0398352075
2023-12-11,2745.590076818606,2500.0,107.058736712
2023-12-12,2745.590076818606,2484.0,107.3940696408
2023-12-13,2745.590076818606,2575.0,107.8283084227
2023-12-14,2745.590076818606,2561.5,107.6982539357
2023-12-15,2745.590076818606,2550.3333333333,107.2717073991
2023-12-16,2154.606950099303,2539.1666666667,107.290416275
2023-12-17,2154.606950099303,2528.0,107.3092372444
2023-12-18,2154.606950099303,2507.0,107.32810382
2023-12-19,2745.590076818606,2544.0,107.6634018244
2023-12-20,2154.606950099303,2503.0,108.0976056864
2023-12-21,2154.606950099303,2557.0,107.9675162841
2023-12-22,2154.606950099303,2548.0,107.5409348367
2023-12-23,2154.606950099303,2539.0,107.5596088064
2023-12-24,2154.606950099303,2530.0,107.578394874
2023-12-25,2154.606950099303,2528.0,107.5972265524
2023-12-26,2154.606950099303,2487.0,107.9324896641
2023-12-27,2154.606950099303,2579.5,108.3666586379
