iter	RMSE
0	6041.763858
1	5682.671223
2	5368.72055
3	5099.765898
4	4871.365524
5	4670.341316
6	4501.419097
7	4356.959997
8	4227.891139
9	4135.08369
10	4030.090212
11	3942.066759
12	3883.596748
13	3818.046886
14	3773.189979
15	3735.100134
16	3682.859843
17	3647.776694
18	3602.929478
19	3577.099371
20	3539.767109
21	3509.865084
22	3489.041322
23	3455.43658
24	3431.244674
25	3412.30554
26	3393.291731
27	3371.45085
28	3355.145001
29	3335.555618
30	3320.896417
31	3302.892227
32	3289.997096
33	3276.963886
34	3262.409514
35	3244.456801
36	3235.38716
37	3221.487949
38	3211.525438
39	3203.318463
40	3193.871447
41	3179.240464
42	3165.751126
43	3158.832151
44	3149.699373
45	3141.226439
46	3128.010847
47	3122.912856
48	3114.205252
49	3108.444637
50	3102.963485
51	3094.804664
52	3084.202855
53	3078.397315
54	3068.401793
55	3059.985219
56	3055.618854
57	3048.460757
58	3043.107117
59	3039.333109
60	3034.444433
61	3028.713983
62	3019.094439
63	3011.135942
64	3002.412025
65	2997.499169
66	2990.41719
67	2987.281189
68	2980.324009
69	2977.273013
70	2969.843458
71	2966.52593
72	2960.989167
73	2953.712477
74	2947.480336
75	2941.783123
76	2935.430337
77	2929.89206
78	2926.733522
79	2924.757558
80	2919.923289
81	2913.931933
82	2910.77374
83	2906.886794
84	2903.929144
85	2898.014049
86	2889.824397
87	2885.755651
88	2884.056072
89	2877.370992
90	2874.786443
91	2872.618599
92	2867.515828
93	2865.356925
94	2861.35497
95	2857.479406
96	2854.539067
97	2850.868068
98	2846.248497
99	2837.265252
100	2834.838801
101	2827.979472
102	2823.19753
103	2819.714069
104	2815.275182
105	2810.196831
106	2806.673621
107	2804.378926
108	2801.102223
109	2797.346472
110	2794.529586
111	2791.153081
112	2787.865069
113	2784.208952
114	2777.660415
115	2772.71897
116	2771.291788
117	2767.275641
118	2762.97112
119	2760.063043
