iter	Passed	Remaining
0	13	13260
1	26	13059
2	37	12390
3	48	12127
4	61	12318
5	73	12243
6	81	11548
7	88	11026
8	96	10612
9	104	10308
10	112	10075
11	119	9879
12	127	9643
13	134	9455
14	142	9347
15	149	9222
16	157	9106
17	164	8975
18	172	8900
19	179	8800
20	187	8743
21	194	8647
22	201	8574
23	210	8547
24	217	8483
25	224	8422
26	232	8376
27	240	8336
28	247	8282
29	255	8252
30	262	8214
31	270	8174
32	277	8126
33	284	8087
34	292	8051
35	299	8020
36	307	8007
37	314	7965
38	322	7934
39	329	7898
40	337	7900
41	345	7875
42	352	7853
43	360	7827
44	367	7802
45	375	7777
46	382	7755
47	389	7733
48	397	7706
49	404	7683
50	411	7659
51	418	7634
52	425	7611
53	433	7592
54	440	7571
55	447	7549
56	455	7538
57	462	7515
58	470	7500
59	477	7477
60	484	7462
61	492	7450
62	499	7434
63	506	7414
64	514	7400
65	522	7391
66	529	7377
67	537	7371
68	545	7353
69	553	7356
70	560	7336
71	568	7323
72	577	7331
73	585	7325
74	593	7313
75	600	7301
76	607	7282
77	614	7260
78	621	7244
79	628	7223
80	635	7214
81	642	7195
82	649	7177
83	656	7162
84	663	7143
85	670	7130
86	678	7121
87	686	7112
88	694	7110
89	702	7098
90	709	7085
91	716	7075
92	723	7058
93	730	7044
94	737	7024
95	744	7006
96	751	6994
97	758	6978
98	765	6964
99	772	6948
100	779	6934
101	786	6921
102	793	6906
103	800	6894
104	806	6878
105	813	6862
106	820	6846
107	827	6830
108	833	6817
109	840	6802
110	848	6793
111	855	6781
112	862	6769
113	869	6755
114	876	6742
115	883	6733
116	891	6724
117	898	6714
118	904	6699
119	911	6687
120	919	6676
121	925	6662
122	932	6650
123	939	6635
124	946	6622
125	953	6611
126	959	6597
127	967	6589
128	973	6576
129	981	6566
130	987	6553
131	994	6542
132	1002	6533
133	1009	6523
134	1016	6514
135	1023	6501
136	1030	6492
137	1037	6479
138	1044	6469
139	1053	6470
140	1061	6465
141	1071	6474
142	1081	6482
143	1091	6487
144	1100	6491
145	1111	6503
146	1123	6518
147	1133	6523
148	1144	6537
149	1152	6532
150	1160	6527
151	1169	6522
152	1177	6518
153	1188	6530
154	1200	6544
155	1215	6577
156	1226	6583
157	1234	6577
158	1249	6607
159	1265	6643
160	1282	6681
161	1297	6711
162	1309	6723
163	1318	6720
164	1331	6738
165	1340	6734
166	1348	6727
167	1357	6721
168	1365	6714
169	1375	6714
170	1384	6714
171	1394	6715
172	1402	6704
173	1410	6694
174	1417	6681
175	1425	6672
176	1432	6660
177	1440	6650
178	1447	6638
179	1454	6625
180	1461	6613
181	1468	6600
182	1476	6591
183	1484	6582
184	1492	6574
185	1499	6563
186	1507	6553
187	1514	6540
188	1521	6528
189	1528	6517
190	1535	6505
191	1543	6494
192	1550	6481
193	1557	6470
194	1563	6456
195	1570	6442
196	1577	6431
197	1585	6421
198	1593	6412
199	1599	6399
200	1607	6389
201	1614	6376
202	1621	6364
203	1628	6352
204	1635	6341
