date,sales
2013-01-01,2511.619
2013-01-02,5316.224
2013-01-03,4442.9130000000005
2013-01-04,4844.354
2013-01-05,5817.526
2013-01-06,3201.695
2013-01-07,2783.978
2013-01-08,2884.284
2013-01-09,3565.639
2013-01-10,2673.934
2013-01-11,4794.148
2013-01-12,7036.223
2013-01-13,3174.204
2013-01-14,3156.056
2013-01-15,3005.576
2013-01-16,3854.7
2013-01-17,2616.904
2013-01-18,5695.546
2013-01-19,7456.022
2013-01-20,3495.272
2013-01-21,3768.027
2013-01-22,3270.978
2013-01-23,4528.585
2013-01-24,3562.141
2013-01-25,5698.591
2013-01-26,8207.192
2013-01-27,3442.038
2013-01-28,3278.216
2013-01-29,3554.633
2013-01-30,4302.477
2013-01-31,4252.359
2013-02-01,8838.678
2013-02-02,11254.187
2013-02-03,4976.038
2013-02-04,5595.269
2013-02-05,5461.599
2013-02-06,6872.321
2013-02-07,8393.609
2013-02-08,14792.442000000001
2013-02-09,20156.068
2013-02-10,15694.587
2013-02-11,11427.28
2013-02-12,5718.612
2013-02-13,6962.628
2013-02-14,5710.148
2013-02-15,5510.284
2013-02-16,4179.728
2013-02-17,2351.022
2013-02-18,3744.7690000000002
2013-02-19,3655.293
2013-02-20,5058.981
2013-02-21,4877.914
2013-02-22,7908.113
2013-02-23,9369.984
2013-02-24,4382.754
2013-02-25,4731.991
2013-02-26,3999.873
2013-02-27,5160.56
2013-02-28,4670.395
2013-03-01,9173.272
2013-03-02,11127.401
2013-03-03,4912.932
2013-03-04,5195.929
2013-03-05,4605.677
2013-03-06,5010.357
2013-03-07,4855.477
2013-03-08,9579.06
2013-03-09,9747.019
2013-03-10,5209.9130000000005
2013-03-11,4855.208
2013-03-12,3891.047
2013-03-13,5358.888
2013-03-14,4921.765
2013-03-15,7932.628
2013-03-16,10488.737
2013-03-17,4317.67
2013-03-18,5600.988
2013-03-19,3790.851
2013-03-20,5959.536
2013-03-21,4534.943
2013-03-22,9140.691
2013-03-23,10285.297
2013-03-24,4732.697
2013-03-25,5801.228
2013-03-26,4979.404
2013-03-27,7145.5289999999995
2013-03-28,12275.946
2013-03-29,14962.0
2013-03-30,10498.223
2013-03-31,4269.722
2013-04-01,4506.788
2013-04-02,4323.853
2013-04-03,5297.349
2013-04-04,4633.39
2013-04-05,7872.668
2013-04-06,9596.541
2013-04-07,4466.978
2013-04-08,4061.222
2013-04-09,3958.273
2013-04-10,4288.012
2013-04-11,4106.387
2013-04-12,7078.44
2013-04-13,7977.428
2013-04-14,3592.735
2013-04-15,3571.021
2013-04-16,3380.249
2013-04-17,3979.764
2013-04-18,3318.319
2013-04-19,5760.632
2013-04-20,7496.614
2013-04-21,3523.2
2013-04-22,3160.782
2013-04-23,2856.016
2013-04-24,3647.374
2013-04-25,2794.551
2013-04-26,5685.799
2013-04-27,6426.166
2013-04-28,3257.783
2013-04-29,3161.467
2013-04-30,2920.942
2013-05-01,4716.944
2013-05-02,3323.522
2013-05-03,3944.754
2013-05-04,5608.393
2013-05-05,3385.116
2013-05-06,2963.995
2013-05-07,2596.339
2013-05-08,3021.674
2013-05-09,3221.843
2013-05-10,3331.747
2013-05-11,3879.32
2013-05-12,2817.074
2013-05-13,2317.74
2013-05-14,2266.842
2013-05-15,2980.785
2013-05-16,2365.996
2013-05-17,3534.431
2013-05-18,4677.052
2013-05-19,2611.147
2013-05-20,2491.513
2013-05-21,2370.492
2013-05-22,3206.404
2013-05-23,4145.959
2013-05-24,11260.544
2013-05-25,6176.245
2013-05-26,3064.307
2013-05-27,2319.898
2013-05-28,2137.54
2013-05-29,2799.649
2013-05-30,2502.393
2013-05-31,2821.902
2013-06-01,4460.978
2013-06-02,3319.189
2013-06-03,2692.449
2013-06-04,2722.278
2013-06-05,2988.7309999999998
2013-06-06,2233.765
2013-06-07,3677.25
2013-06-08,3716.419
2013-06-09,2581.742
2013-06-10,2464.012
2013-06-11,2268.3
2013-06-12,3162.147
2013-06-13,2479.41
2013-06-14,3153.045
2013-06-15,4200.738
2013-06-16,2544.418
2013-06-17,2416.057
2013-06-18,2817.284
2013-06-19,2929.065
2013-06-20,2128.121
2013-06-21,3870.365
2013-06-22,4352.029
2013-06-23,3180.776
2013-06-24,2443.138
2013-06-25,2334.683
2013-06-26,2301.326
2013-06-27,2257.451
2013-06-28,3839.607
2013-06-29,4460.955
2013-06-30,3202.619
2013-07-01,2926.877
2013-07-02,2602.253
2013-07-03,3299.296
2013-07-04,2596.386
2013-07-05,3422.187
